ID,TOTAL.VALUE,TAX,LOT.SQFT,YR.BUILT,GROSS.AREA,LIVING.AREA,FLOORS,ROOMS,BEDROOMS,FULL.BATH,HALF.BATH,KITCHEN,FIREPLACE,REMODEL
1084,339.3,4268,5651,1940,2454,1306,1.5,6,3,2,1,1,1,Recent
1085,307.9,3873,5005,1928,2078,1369,2,6,3,1,0,1,0,Old
1086,346.3,4356,8145,1940,2664,1546,1.5,6,3,1,0,1,1,Recent
1087,479.1,6027,9642,1999,2952,1872,2,7,4,2,1,1,1,None
1088,335.6,4221,6475,1946,2684,1265,1.5,6,3,1,1,1,0,None
1089,261.5,3289,4175,1940,1536,768,1,4,2,1,0,1,0,None
1090,355.1,4467,5400,1940,2650,1224,1.5,7,3,2,0,1,1,Recent
1091,356.8,4488,5005,1996,2660,1680,2,6,3,2,1,1,1,None
1092,287.3,3614,3288,1955,2764,1503,1.5,7,3,2,1,1,1,None
1093,331.9,4175,5400,1940,2536,1224,1.5,6,3,1,0,1,1,None
1094,387.1,4869,8238,1968,3972,1922,1,9,4,2,0,1,1,None
1095,307.6,3869,5092,1945,2539,1306,1.5,6,3,2,0,1,0,Old
1096,360.9,4540,5400,1950,2508,1440,2,6,3,3,0,1,0,Recent
1097,466.1,5863,8970,1999,2952,1872,2,7,4,2,1,1,1,None
1098,340,4277,5400,1940,2714,1376,1.5,6,3,1,0,1,1,Recent
1099,303.9,3823,8200,1934,2608,1304,1,6,2,2,0,1,1,Recent
1100,303.5,3818,4200,1960,2670,1710,2,10,4,1,1,1,1,None
1101,301.4,3791,6444,1940,2886,1474,1.5,6,3,1,1,1,1,None
1102,339.9,4275,5035,1925,3264,1523,1,6,2,1,0,1,0,Recent
1103,281.3,3538,3960,1955,2590,1630,2,8,4,2,1,1,1,None
1104,530.1,6668,6227,1999,4013,2359,2,8,4,2,1,1,0,None
1105,310.4,3904,3150,1955,2456,1620,2,7,4,1,1,1,1,Old
1106,344.6,4335,8151,1983,4532,2056,1,5,2,1,2,1,1,None
1107,525.1,6605,6257,2001,4124,2494,2,9,4,2,0,1,1,None
1108,285.3,3589,5024,1940,2556,1306,1.5,6,3,2,0,1,0,None
1109,302.3,3802,4200,1930,2272,1352,2,8,3,1,0,1,1,Recent
1110,243.3,3060,3150,1962,2496,1420,1.5,4,2,1,0,1,1,None
1111,334.9,4213,6012,1910,3185,1911,2,7,3,1,1,1,0,None
1112,327.5,4119,5968,1910,3216,1839,2,7,3,1,1,1,0,None
1113,586.6,7379,8890,2001,4791,2774,2,9,4,3,1,1,1,None
1114,347.3,4369,7355,1920,3516,1980,2,7,3,1,1,1,0,None
1115,267.6,3366,5077,1956,876,876,1,5,2,1,0,1,0,None
1116,274.2,3449,3617,1955,2784,1435,1.5,5,2,1,1,1,1,None
1117,404.6,5089,6253,1959,3077,1989,1,6,4,3,0,1,1,Recent
1118,339.9,4275,6300,1960,1730,1625,1,7,4,1,1,1,1,None
1119,420.8,5293,7861,1967,4182,2888,1,12,4,2,1,1,0,None
1120,283.5,3566,4200,1930,2488,1484,2,6,3,1,1,1,0,None
1121,620.3,7803,6255,2001,6016,3446,2,10,4,3,1,1,2,None
1122,346.3,4356,4050,1940,2756,1150,1,6,3,1,1,1,1,Recent
1123,295.07,3711,5131,1945,1840,1486,1.5,6,4,2,0,1,0,Old
1124,297.6,3743,3628,1962,2736,1680,2,7,3,1,1,1,1,None
1125,310.7,3908,6001,1969,2124,2074,1,10,4,2,0,2,2,None
1126,442.6,5567,4800,1999,3960,2282,2,6,3,2,1,1,1,None
1127,277.5,3490,4050,1945,2108,1014,1,6,3,1,1,1,1,None
1128,310.6,3907,3639,1955,2784,1421,1.5,7,3,1,1,1,1,Old
1129,327.1,4114,6754,1960,2705,1340,1,6,3,1,0,1,1,None
1130,307.5,3868,2100,1989,2244,1400,2,6,3,1,1,1,1,None
1131,243.3,3060,4200,1955,2508,1120,1,6,3,1,1,1,1,None
1132,352.8,4438,6001,1965,1964,1826,1,8,3,1,1,1,1,Recent
1133,258.6,3253,5460,1950,2188,1080,1,6,2,1,0,1,1,None
1134,295.5,3717,4050,1960,2592,1387,1.5,6,3,1,1,1,1,None
1135,490.7,6173,6011,1999,4368,2483,2,9,3,2,1,1,1,None
1136,330.3,4155,6317,1969,2385,1440,2,6,3,1,1,1,0,None
1137,290.8,3658,6850,1958,2568,1414,1.5,6,2,1,1,1,1,None
1138,350.7,4411,9600,1950,4063,1636,1,9,3,2,0,2,0,None
1139,301.1,3787,6000,1965,2098,1696,1,7,5,1,1,1,2,None
1140,278.7,3506,6400,1974,2161,1633,1,8,4,2,0,1,1,Old
1141,298.2,3751,5824,1945,2696,1120,1,6,3,1,0,1,0,None
1142,249,3132,4200,1950,1976,988,1,5,2,1,0,1,1,None
1143,287.5,3616,6000,1965,2347,1781,1,8,4,1,1,1,0,None
1144,434.3,5463,13267,1960,3813,1931,1.5,6,2,1,1,1,1,Recent
1145,508.8,6400,3911,2004,3836,2416,2,7,4,3,1,1,1,None
1146,338.8,4262,10537,1910,2100,1380,2,7,3,1,1,1,1,None
1147,363.5,4572,7468,1972,2815,2035,2,10,4,2,1,1,0,Recent
1148,335.3,4218,6400,1974,3404,2612,1,7,4,1,1,1,1,Old
1149,353.5,4447,12600,1955,2910,1347,1,6,3,1,1,1,1,None
1150,291.5,3667,6000,1971,2080,2028,1,8,4,1,1,1,0,None
1151,325.8,4098,4900,1970,2835,1659,2,8,4,2,0,1,1,None
1152,368.2,4631,7200,1900,3223,1669,2,7,3,1,1,1,0,Recent
1153,361.7,4550,6000,1978,2530,1590,2,7,4,2,0,1,0,None
1154,286.3,3601,6000,1965,2296,1781,1,8,4,1,1,1,0,None
1155,315.7,3971,6400,1965,2198,1633,1,8,3,1,1,1,1,Old
1156,282.4,3552,7770,1950,1800,900,1,5,2,1,0,1,1,None
1157,337.5,4245,5914,1925,2594,1131,1,6,3,1,0,1,0,None
1158,320.1,4026,5290,1950,2800,1824,2,7,4,2,0,1,0,Recent
1159,272.9,3433,2800,1920,2663,1430,2,6,3,1,1,1,0,None
1160,243.2,3059,4868,1950,1628,800,1,5,2,1,0,1,1,None
1161,305,3836,7448,1984,2358,1306,1.5,8,3,2,0,1,1,None
1162,277.7,3493,2800,1955,2324,1306,1.5,7,3,2,0,1,1,None
1163,316.9,3986,4449,1910,2302,1208,1.5,6,3,1,2,1,0,Recent
1164,297.1,3737,6000,1971,2456,1997,1,7,3,1,1,1,0,None
1165,467,5874,4800,2003,3924,2206,2,9,4,2,2,1,1,None
1166,302.4,3804,7440,1950,2040,900,1,6,3,1,0,1,0,None
1167,253.2,3185,4200,1955,2507,1403,1.5,6,2,2,0,1,1,None
1168,375.1,4718,6000,1978,2370,1590,2,7,4,2,1,1,0,None
1169,242.9,3055,4151,1920,2068,1248,2,7,3,1,0,1,0,None
1170,307.1,3863,6000,1965,2308,2009,1,9,3,2,0,1,0,None
1171,274.1,3448,6781,1956,2064,1000,1,5,2,1,0,1,1,None
1172,237,2981,3200,1911,1292,1020,2,6,3,1,0,1,0,Old
1173,253,3182,6300,1964,2507,1155,1,6,3,1,0,1,1,None
1174,299.4,3766,6081,1960,2212,1082,1,5,3,1,1,1,1,None
1175,286.9,3609,7912,1955,1848,864,1,6,3,1,0,1,1,None
1176,327.5,4119,6000,1980,2466,1590,2,7,3,1,1,1,0,None
1177,367.5,4623,4895,1989,2728,1800,2,7,4,2,1,1,1,None
1178,308,3874,5160,1920,2658,1452,2,7,3,2,0,1,0,None
1179,516.7,6500,6000,2005,4623,2597,2,11,4,2,1,1,1,None
1180,348.7,4386,7000,1986,2467,1954,1,9,4,2,0,1,1,None
1181,367.1,4618,6750,1956,2216,1216,1,8,3,2,0,2,1,None
1182,299.4,3766,3900,1920,3475,1754,2,7,3,2,1,1,0,Old
1183,296.5,3729,7416,1960,2164,1082,1,6,2,1,1,1,0,None
1184,360,4528,4544,1989,2704,1800,2,6,3,2,1,1,1,None
1185,325.9,4099,3500,1960,2632,1632,2,6,3,2,0,1,1,Old
1186,360.8,4538,6000,1978,2466,1590,2,7,4,1,1,1,0,Old
1187,283,3560,3200,1965,2120,1410,2,7,3,1,1,1,1,Old
1188,368,4629,2295,2002,2718,1728,2,7,3,2,1,1,1,None
1189,297.8,3746,7442,1950,2438,1204,1,6,3,1,0,1,1,None
1190,239.9,3017,2800,1955,2364,1306,1.5,7,3,1,0,1,0,None
1191,293.7,3694,6548,1960,2164,1082,1,5,2,1,0,1,1,None
1192,412.4,5187,6000,1993,2991,1680,2,6,3,1,1,1,1,None
1193,382,4805,7300,1978,2524,1590,2,7,4,1,1,1,0,None
1194,275,3459,4294,1965,2295,1470,2,7,3,1,1,1,1,None
1195,318.2,4002,8001,1925,3228,1408,1,5,2,1,0,1,0,None
1196,266.3,3350,6089,1960,2180,1082,1,5,3,1,0,1,0,None
1197,282.2,3550,4392,1914,2773,1568,2,7,3,1,0,1,0,None
1198,325.2,4091,5950,1962,2448,2293,1,8,3,1,1,2,0,None
1199,287.8,3620,6750,1956,2060,960,1,6,3,1,0,1,1,None
1200,354.2,4455,6000,1926,2936,1650,2,8,3,2,0,1,0,None
1201,289.5,3641,4335,1965,2087,1326,2,7,3,1,1,1,1,Old
1202,186.3,2343,4300,1920,1926,960,1,5,2,1,0,1,1,None
1203,398.1,5008,7287,1999,2892,1800,2,6,3,2,0,1,0,None
1204,283.5,3566,4824,1916,1795,933,1.5,7,3,2,0,1,0,None
1205,254.5,3201,5095,1960,2184,1082,1,5,3,1,0,1,1,None
1206,303.9,3823,6000,1940,1904,1228,2,6,3,1,1,1,0,None
1207,262.1,3297,2100,1900,1800,972,1.5,6,3,1,1,1,0,Recent
1208,273.1,3435,7258,1950,1992,900,1,5,2,1,0,1,1,None
1209,210.9,2653,4281,1929,2047,900,1,5,2,1,0,1,0,None
1210,272.4,3426,4416,1925,2413,1083,1,8,3,1,1,1,1,None
1211,279.6,3517,6026,1960,2376,1487,1,9,3,1,1,1,0,None
1212,348.9,4389,5300,1963,2616,1966,1,8,3,1,1,1,0,None
1213,325.2,4091,6750,1950,2710,1305,1.5,6,3,1,1,1,1,None
1214,323,4063,2100,1900,2414,1544,2.5,6,3,1,0,1,0,Recent
1215,337.3,4243,6730,1963,2926,1871,2,7,3,2,1,1,0,Old
1216,182.7,2298,1616,1920,1439,856,2,5,2,1,0,1,0,None
1217,285.8,3595,5144,1963,2732,1539,1.5,6,3,1,1,1,0,None
1218,259,3258,4200,1900,2962,1744,2,6,3,1,0,1,0,None
1219,331.1,4165,5307,1960,2232,1726,1,8,4,1,1,2,0,None
1220,329.2,4141,5663,1965,2212,1320,2,7,3,1,1,1,0,None
1221,239.3,3010,3420,1918,2107,1310,2,6,3,1,0,1,0,None
1222,272,3421,6073,1951,1928,900,1,5,2,1,0,1,1,None
1223,207.9,2615,2968,1920,2027,938,1.5,5,2,1,0,1,0,None
1224,294.4,3703,6750,1950,2216,1000,1,5,2,1,1,1,1,None
1225,312.5,3931,6099,1960,2638,2156,1,6,3,2,0,1,0,None
1226,401.7,5053,8056,2001,3156,1976,2,8,4,2,1,1,1,None
1227,288.5,3629,3150,1900,2342,1467,2,7,4,1,1,1,0,None
1228,305.4,3841,6291,1960,2126,1380,2,6,3,1,1,1,0,None
1229,283.9,3571,4200,1915,2697,1552,2,7,3,1,0,1,0,None
1230,272.2,3424,5507,1960,2592,1469,1.5,7,2,2,0,1,0,None
1231,271.3,3412,5769,1960,2136,1487,1,6,2,1,1,1,0,None
1232,300.2,3776,6444,1957,2808,1469,1.5,6,2,2,0,1,0,None
1233,279.8,3519,6720,1960,2492,1246,1,6,3,1,0,1,1,None
1234,509.4,6408,24677,1960,6100,2601,1.5,8,5,3,0,1,0,Recent
1235,298.9,3760,7133,1950,2408,1008,1,6,3,1,0,1,1,None
1236,325,4088,3850,1910,2235,1276,2,8,3,1,1,1,0,Old
1237,356,4478,6750,1950,2526,1200,1,7,3,1,0,1,1,Recent
1238,241.3,3035,3360,1920,2119,1105,1.5,6,2,1,1,1,0,None
1239,314.3,3953,7109,1960,2239,1380,2,8,3,1,1,1,0,None
1240,366.3,4608,6327,2001,3156,1976,2,7,4,2,1,1,1,None
1241,323.1,4064,5643,1960,3048,1896,2,8,4,1,1,1,0,None
1242,286.9,3609,6044,1957,2634,1469,1.5,5,2,1,0,1,0,None
1243,293.2,3688,7408,1950,2459,984,1,5,2,1,1,1,1,None
1244,293.8,3696,5835,1960,2680,1469,1.5,6,3,1,1,1,0,None
1245,167.6,2108,1980,1900,1502,690,1,3,1,1,0,1,0,None
1246,253.3,3186,3402,1924,2057,1350,2,6,3,1,1,1,0,None
1247,269.3,3387,3850,1910,1816,1152,2,6,2,1,0,1,0,None
1248,310.2,3902,7200,1909,2370,1364,2,5,2,1,1,1,0,None
1249,217.9,2741,3360,1957,2160,1008,1,6,3,1,0,1,1,None
1250,395,4969,4291,1990,2815,1684,2,6,3,1,1,1,0,None
1251,298.5,3755,6514,1960,2118,1380,2,8,3,1,1,1,0,None
1252,561.8,7067,9604,2006,3960,2455,2,8,4,2,1,1,1,None
1253,220,2767,3205,1924,2117,1061,1.5,6,3,1,0,1,0,None
1254,334.4,4206,7622,1940,2896,1510,1.5,6,3,1,1,1,1,None
1255,331.2,4166,7796,1962,2760,1469,1.5,7,3,2,0,1,0,None
1256,311.9,3923,6750,1950,2336,1140,1,7,2,2,0,1,2,None
1257,286.3,3601,3628,1950,2232,1056,1,5,2,1,0,1,1,Recent
1258,311.9,3923,13209,1950,2304,1075,1,6,3,1,1,1,1,None
1259,144.6,1819,1017,1920,1293,797,1.5,5,2,1,0,1,0,None
1260,292.5,3679,5602,1960,2643,1469,1.5,6,2,1,1,1,0,None
1261,233.7,2939,3360,1950,2409,1008,1,6,3,2,1,1,1,None
1262,287.8,3620,6000,1960,2116,1726,1,6,4,2,0,2,0,None
1263,309.5,3893,5958,1960,2431,1560,2,6,3,1,1,1,0,None
1264,278.4,3502,4343,1959,2064,912,1,6,3,2,0,1,1,None
1265,222.4,2797,3850,1905,1832,1188,2,5,2,1,1,1,0,None
1266,319.9,4024,6539,1943,3045,1712,1.5,8,1,1,0,1,1,Recent
1267,306.5,3855,6021,1969,2092,1016,1,6,3,2,0,1,1,None
1268,240.9,3030,3728,1920,1698,936,1.5,6,3,1,0,1,0,None
1269,270.7,3405,5013,1900,2339,1497,2,6,3,1,0,1,0,None
1270,314.2,3952,3486,1960,2344,1713,1,8,4,2,0,1,1,None
1271,306.5,3855,6000,1967,1984,968,1,6,3,2,0,2,1,None
1272,402.5,5063,5981,1950,3434,2369,2,9,4,2,0,1,1,Recent
1273,358.4,4508,12853,1950,2329,1625,2,7,4,2,0,1,1,Recent
1274,309.1,3888,6794,1959,2260,1577,1,8,3,1,1,1,0,None
1275,348.9,4389,4311,1950,2972,1529,1.5,6,3,1,1,1,1,None
1276,331.3,4167,8323,1960,2116,1966,1,8,4,1,1,2,0,None
1277,562,7069,7682,2005,4184,2724,2,8,4,2,1,1,1,None
1278,246.4,3099,3780,1950,2412,1008,1,6,2,2,0,1,1,None
1279,298,3748,5931,1961,2912,1533,1.5,8,3,1,1,1,0,None
1280,287.2,3612,6750,1950,2344,1000,1,5,2,1,0,1,1,None
1281,279.4,3514,6540,1945,2304,1075,1,6,3,1,0,1,1,None
1282,308.9,3885,13051,1942,2324,1075,1,6,3,1,0,1,1,None
1283,273.6,3441,4200,1955,2428,1075,1,7,3,1,0,1,1,None
1284,400.8,5042,4117,1992,2744,2079,2,7,3,2,0,1,1,None
1285,338,4252,6000,1960,2244,2134,1,7,3,1,1,1,0,None
1286,294.3,3702,4486,1950,2612,1378,1.5,6,3,1,1,1,1,None
1287,357.7,4499,6057,1960,2636,1966,1,6,3,1,0,1,0,Recent
1288,319.1,4014,4386,1950,2504,1313,1.5,7,3,2,0,1,0,None
1289,206,2591,2436,1920,2476,1265,1.5,5,3,1,0,1,0,None
1290,282.1,3548,4603,1910,2531,1426,2,7,3,1,1,1,0,Old
1291,282.4,3552,5401,1960,2016,968,1,5,3,1,0,1,1,None
1292,293.9,3697,5110,1950,2412,1306,1.5,6,3,1,1,1,1,None
1293,322.4,4055,5981,1940,2504,1506,1.5,7,3,1,0,1,1,None
1294,337.2,4241,13250,1950,2508,1075,1,6,3,1,1,1,1,None
1295,313.7,3946,4288,1965,2368,1368,2,9,4,1,1,1,1,None
1296,280.2,3524,4200,1955,2164,1200,2,6,3,1,1,1,1,None
1297,297.8,3746,5975,1955,2628,1469,1.5,7,3,2,0,1,0,None
1298,474.4,5967,5604,2008,3526,2118,2,8,4,2,1,1,0,None
1299,269,3384,5301,1910,3714,2428,2,9,5,2,0,1,0,None
1300,313.6,3945,4998,1959,2203,1589,1,7,3,1,1,1,2,None
1301,322.1,4052,7163,1965,2116,1487,1,7,3,1,1,1,0,None
1302,204.9,2577,4200,1920,2296,990,1,5,3,1,0,1,1,None
1303,563.1,7083,9021,2005,4065,2605,2,8,4,2,1,1,1,None
1304,313.1,3938,4696,1965,2184,1368,2,7,4,1,1,1,1,None
1305,282.5,3553,6000,1960,2212,1538,1,8,3,1,1,1,0,None
1306,337,4239,6047,1950,2568,1490,1.5,7,3,2,0,1,1,Recent
1307,331.2,4166,13494,1950,2340,1306,1.5,6,3,2,0,1,1,None
1308,311.1,3913,6000,1960,2140,1966,1,7,3,2,0,1,0,None
1309,355.9,4477,5998,1960,2184,1726,1,8,4,2,0,1,0,Recent
1310,315,3962,6725,1964,2064,1372,2,6,3,1,1,1,1,None
1311,177.4,2231,3624,1910,821,600,1,5,2,1,0,1,0,None
1312,298.1,3750,6000,1960,2212,1692,1,7,3,1,1,1,0,None
1313,331,4163,3603,1930,3063,1612,2,5,2,1,0,1,0,Recent
1314,396.8,4991,14065,1940,2424,1306,1.5,9,3,2,1,1,1,Recent
1315,349.3,4394,5050,1900,3502,1842,2,9,3,1,1,1,0,Recent
1316,338.2,4254,9733,1920,2902,1377,1.5,6,3,2,0,1,0,None
1317,276.6,3479,4200,1955,2000,1200,2,6,3,1,1,1,1,None
1318,255,3207,4200,1960,1940,970,1,7,3,1,1,1,1,None
1319,277.7,3493,4759,1959,1989,918,1,5,3,1,1,1,1,None
1320,347.9,4376,4269,1960,2236,1368,2,6,4,1,1,1,1,None
1321,440.2,5537,8247,1940,3210,1980,2,7,3,1,0,1,1,Recent
1322,357.3,4494,7939,1964,2136,1726,1,9,4,1,1,1,0,None
1323,558.8,7029,8317,2005,4133,2605,2,8,4,2,1,1,1,None
1324,305,3836,3861,1965,2191,1369,2,7,4,1,1,1,1,None
1325,322.4,4055,4265,1900,2307,1350,2,6,3,1,1,1,0,Recent
1326,105,1320,997,1910,1319,504,1,4,2,1,0,1,0,None
1327,380.6,4787,6074,1965,2668,2014,1,8,3,2,0,2,1,Recent
1328,350.1,4404,14707,1942,3057,1529,1.5,7,4,2,0,1,1,None
1329,302.8,3809,5975,1960,2326,1380,2,7,3,1,1,1,0,None
1330,310.7,3908,6465,1960,1948,1404,1,5,3,1,1,1,1,None
1331,290.2,3650,6000,1960,2212,1692,1,7,3,1,1,1,0,None
1332,320.2,4028,6047,1957,2486,1387,1.5,6,3,2,0,1,1,Recent
1333,313.6,3945,8104,1955,3202,1492,1,5,3,1,1,1,1,None
1334,320,4025,4411,1960,2284,1558,1,7,3,1,1,1,2,None
1335,282.2,3550,5823,1963,2100,1320,2,6,3,1,1,1,0,None
1336,287.4,3615,5277,1959,2092,952,1,7,3,1,1,1,1,None
1337,336.6,4234,4200,1960,3870,1953,1.5,7,3,1,1,2,0,None
1338,307.2,3864,6100,1960,2184,1583,1,8,3,1,1,1,0,None
1339,277,3484,4749,1961,1953,1404,1,7,3,1,1,1,1,None
1340,347.2,4367,10050,1942,3104,1706,2,8,3,1,2,1,1,None
1341,201,2528,4435,1900,2823,1637,2,7,4,1,1,1,0,None
1342,353.5,4447,9747,1960,2100,1726,1,9,4,2,0,2,0,Old
1343,423.4,5326,9730,1992,2776,2188,1,8,3,2,0,2,0,None
1344,323.5,4069,6022,1961,3246,1679,1.5,7,3,1,1,1,0,None
1345,576,7246,6864,2005,5122,3108,2,8,4,2,1,1,1,None
1346,301.1,3787,6271,1961,1530,1360,1,8,4,2,0,1,1,None
1347,374,4704,7550,1943,2623,1306,1.5,6,3,1,0,1,1,Recent
1348,300,3774,5975,1955,2736,1469,1.5,7,3,1,1,1,0,None
1349,348.8,4387,5999,1960,2556,1966,1,7,3,1,1,1,0,None
1350,308.6,3882,5742,1960,2120,1320,2,7,3,1,1,1,0,None
1351,320.9,4036,8088,1967,2240,1726,1,8,3,2,0,1,0,None
1352,326.8,4111,4880,1960,2556,1354,1.5,6,3,2,0,1,1,Old
1353,354.4,4458,6710,1925,3196,1786,2,7,3,2,0,1,0,Recent
1354,265.3,3337,7045,1920,2697,1378,1.5,6,3,1,1,1,0,None
1355,376.2,4732,2700,1990,2448,1536,2,8,3,2,1,1,1,None
1356,296.9,3735,4659,1950,1984,1404,1,5,3,1,0,1,1,None
1357,252.985,3182,7270,1920,2210,1326,2,7,3,1,1,1,0,None
1358,339.1,4265,5273,1943,2769,1734,2,7,5,2,0,1,1,Recent
