TARGET_B,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCatStarAll,DemCluster,DemAge,DemMedHomeValue,DemPctVeterans,DemMedIncome,StatusCat96NK_E,StatusCat96NK_F,StatusCat96NK_L,StatusCat96NK_N,StatusCat96NK_S,DemHomeOwner_U,DemGender_M,DemGender_U,DemMedIncome_Missing
0,1.8082887711792655,2.4932054526026954,1.1314021114911006,1.62924053973028,1.8082887711792655,1.8082887711792655,1.8082887711792655,1.691939133945844,3.139832617527748,3.8088822465086327,11,32,40,5,15,16,1,34,45.0,112179.20275487842,37,53513.457361167966,0,0,0,0,1,1,0,0,0
0,1.1314021114911006,1.9600947840472698,0.09531017980432493,1.1314021114911006,2.714694743820879,2.4655539212721855,2.1090003439213802,2.714694743820879,3.1822118404966093,4.3054155323020415,4,12,26,2,6,13,0,35,47.0,207900.0,48,53513.457361167966,1,0,0,0,0,1,1,0,1
0,1.9600947840472698,2.714694743820879,1.1314021114911006,2.0918640616783932,1.62924053973028,1.6845453849209058,1.7526720805200082,1.7526720805200082,2.8390784635086144,4.533674184283021,12,30,58,6,15,22,1,39,64.5,104400.0,35,54385.0,0,0,0,0,1,0,1,0,1
0,1.410986973710262,1.62924053973028,0.09531017980432493,0.09531017980432493,2.312535423847214,3.728100167267218,3.563882963939251,3.914021008090819,2.89591193827178,3.4995332823830174,14,33,33,6,15,13,0,45,45.5,70000.0,37,53513.457361167966,0,0,0,0,0,1,0,0,1
1,1.410986973710262,2.2082744135228043,1.1314021114911006,1.9600947840472698,1.9600947840472698,1.7227665977411035,1.671473303353553,1.7526720805200082,3.0492730404820207,3.7864597824528,6,14,19,2,6,8,1,18,64.5,62500.0,28,53513.457361167966,1,0,0,0,0,1,0,0,1
1,0.09531017980432493,3.0007198150650303,0.09531017980432493,2.0918640616783932,3.2228678461377385,3.586292865338835,3.2976870052924907,3.586292865338835,2.89591193827178,4.6549122778829055,21,39,101,6,17,30,1,53,80.0,51500.0,37,44947.0,0,0,0,0,0,1,1,0,0
0,0.7419373447293773,1.62924053973028,-2.3025850929940455,0.7419373447293773,2.714694743820879,2.4932054526026954,2.23001440015921,2.6619665279224902,2.89591193827178,4.044804116661965,4,12,19,2,2,10,0,12,59.15084489627696,43200.0,52,53513.457361167966,1,0,0,0,0,1,1,0,1
0,1.1314021114911006,3.0492730404820207,0.7419373447293773,2.6461747973841225,2.0918640616783932,2.050270164379556,1.8976198599275322,2.028148247292285,3.095577608523707,4.6549122778829055,5,13,42,2,6,19,1,0,61.0,237700.0,31,86560.0,1,0,0,0,0,0,1,0,0
1,0.09531017980432493,0.09531017980432493,0.09531017980432493,0.09531017980432493,2.714694743820879,2.714694743820879,2.714694743820879,2.714694743820879,2.9496883350525844,2.9496883350525844,7,11,10,2,4,4,0,14,47.0,218900.0,26,53513.457361167966,1,0,0,0,0,1,0,0,0
0,1.1314021114911006,2.714694743820879,-2.3025850929940455,1.62924053973028,3.0007198150650303,2.5974910105351463,2.3194422100604686,2.7788192719904172,2.89591193827178,4.585987366571318,13,34,74,6,6,32,1,49,67.0,93800.0,33,53513.457361167966,0,0,0,0,1,1,0,1,0
0,0.7419373447293773,0.7419373447293773,0.09531017980432493,0.09531017980432493,2.5726122302071057,2.8094026953624978,2.8094026953624978,3.0007198150650303,2.7788192719904172,2.8390784635086144,12,17,15,6,9,7,0,5,67.0,79600.0,31,52981.0,0,0,0,1,0,0,0,0,0
0,0.09531017980432493,0.09531017980432493,0.09531017980432493,0.09531017980432493,3.0007198150650303,3.0007198150650303,3.0007198150650303,3.0007198150650303,2.7788192719904172,2.7788192719904172,5,8,8,2,4,4,0,0,53.0,78100.0,8,40491.0,1,0,0,0,0,0,1,0,0
1,0.7419373447293773,2.6461747973841225,0.7419373447293773,1.8082887711792655,2.6461747973841225,2.312535423847214,2.305580601973844,2.312535423847214,1.410986973710262,4.160444363926624,30,50,103,6,16,24,1,37,76.0,169000.0,50,83169.0,0,0,0,0,1,0,1,0,0
1,1.62924053973028,2.4069451083182885,1.1314021114911006,1.9600947840472698,2.714694743820879,2.33214389523559,2.167910189667444,2.344686269012681,1.410986973710262,3.9721769282478934,6,14,21,1,5,8,1,34,48.5,135400.0,15,53513.457361167966,1,0,0,0,0,1,0,0,1
1,1.62924053973028,2.7788192719904172,1.1314021114911006,1.9600947840472698,2.714694743820879,2.0668627594729756,1.701105100959924,2.2793164660546914,3.2228678461377385,4.635699391022914,8,25,43,4,13,17,0,35,76.5,123600.0,22,53513.457361167966,0,0,0,0,0,1,1,0,1
1,1.410986973710262,2.6461747973841225,0.7419373447293773,1.9600947840472698,2.8390784635086144,2.8390784635086144,2.4449523342809676,2.8094026953624978,2.7788192719904172,4.821087692210561,13,29,58,6,16,29,0,0,47.0,87500.0,44,40898.0,0,0,0,0,0,1,0,0,0
0,1.1314021114911006,1.62924053973028,1.1314021114911006,1.410986973710262,2.714694743820879,2.799108932049177,2.766319109226186,2.799108932049177,2.2082744135228043,3.716008121502189,23,39,44,9,16,17,0,25,50.0,192800.0,0,71033.0,0,1,0,0,0,1,1,0,0
0,0.7419373447293773,0.7419373447293773,0.09531017980432493,0.09531017980432493,3.8088822465086327,3.484312288372662,3.484312288372662,3.0007198150650303,2.89591193827178,2.9496883350525844,15,21,17,6,9,7,0,25,55.5,103100.0,24,53513.457361167966,0,0,0,1,0,1,0,0,1
1,1.62924053973028,1.9600947840472698,1.410986973710262,1.62924053973028,1.62924053973028,1.5892352051165808,1.47932922708708,1.2809338454620642,2.7788192719904172,3.716008121502189,15,32,32,6,14,13,1,12,72.0,80000.0,37,57800.0,0,0,0,0,0,1,0,0,1
0,0.7419373447293773,1.410986973710262,0.09531017980432493,1.1314021114911006,2.714694743820879,2.714694743820879,2.533696813957432,2.714694743820879,3.2228678461377385,3.7864597824528,10,20,21,5,10,11,1,27,47.0,81400.0,33,44194.0,0,0,0,0,0,0,1,0,1
0,1.9600947840472698,2.89591193827178,1.410986973710262,2.312535423847214,2.312535423847214,1.9600947840472698,1.8531680973566984,1.8870696490323797,2.9496883350525844,4.044804116661965,13,33,48,6,17,21,1,43,41.0,54900.0,27,45164.0,0,0,0,0,1,1,1,0,0
1,0.7419373447293773,2.4932054526026954,0.09531017980432493,1.8082887711792655,2.4932054526026954,2.4069451083182885,1.8213182714695995,2.4932054526026954,3.0007198150650303,4.719391330078114,15,34,69,6,14,28,0,36,67.0,52900.0,35,53400.0,0,0,0,0,0,0,0,0,0
1,0.09531017980432493,2.312535423847214,0.09531017980432493,2.2082744135228043,2.9496883350525844,2.9496883350525844,2.5572273113676265,2.9496883350525844,2.8390784635086144,4.683056724645162,14,32,66,6,15,27,1,40,75.0,84900.0,21,59500.0,0,0,0,0,0,1,1,0,0
0,0.09531017980432493,1.1314021114911006,0.09531017980432493,0.09531017980432493,2.312535423847214,3.2228678461377385,2.6224923127405635,3.2228678461377385,1.9600947840472698,3.0492730404820207,16,23,21,5,8,7,0,40,60.0,84900.0,21,53513.457361167966,0,0,0,1,0,1,1,0,1
0,0.7419373447293773,0.7419373447293773,0.09531017980432493,0.09531017980432493,2.7788192719904172,2.5726122302071057,2.5726122302071057,2.7788192719904172,3.1822118404966093,3.3357695763397,10,23,22,4,10,9,0,42,41.0,111700.0,42,59500.0,0,0,0,0,0,0,1,0,0
1,1.1314021114911006,3.095577608523707,1.1314021114911006,2.7788192719904172,2.312535423847214,1.9125010869241836,1.007957920399979,1.9125010869241836,3.1822118404966093,4.875960390769654,4,13,49,2,7,24,1,49,59.0,59500.0,23,53513.457361167966,0,0,0,0,0,1,0,0,0
1,1.410986973710262,3.1822118404966093,0.7419373447293773,2.312535423847214,2.4069451083182885,2.336986519711378,2.203869120054888,2.312535423847214,2.9496883350525844,4.7104306966455844,13,33,73,6,17,31,1,51,51.0,44400.0,33,40000.0,0,0,0,0,1,1,0,0,0
1,1.8082887711792655,3.095577608523707,1.1314021114911006,2.2082744135228043,3.2228678461377385,2.725890119230541,2.658859956911438,2.5974910105351463,2.7788192719904172,4.596129441335942,14,36,76,6,17,28,1,49,62.5,59500.0,23,53513.457361167966,0,0,0,0,1,1,0,0,1
0,0.09531017980432493,0.09531017980432493,-2.3025850929940455,-2.3025850929940455,3.0007198150650303,3.0007198150650303,3.0007198150650303,2.70805020110221,3.0007198150650303,3.0007198150650303,11,18,16,4,4,6,0,51,31.0,45400.0,11,37236.0,0,1,0,0,0,0,0,0,0
1,0.09531017980432493,0.09531017980432493,0.09531017980432493,0.09531017980432493,3.2228678461377385,3.2228678461377385,3.2228678461377385,3.2228678461377385,3.0492730404820207,3.0492730404820207,10,17,15,4,7,6,0,40,60.0,73000.0,36,50528.0,0,0,0,1,0,1,0,0,1
0,0.7419373447293773,0.7419373447293773,-2.3025850929940455,-2.3025850929940455,3.0007198150650303,3.0007198150650303,3.0007198150650303,2.4069451083182885,2.7788192719904172,3.0007198150650303,12,18,17,5,5,6,0,49,54.0,54300.0,25,43729.0,0,0,0,1,0,1,0,0,0
0,0.7419373447293773,2.7788192719904172,0.7419373447293773,2.4932054526026954,2.714694743820879,2.714694743820879,2.4344901638739844,2.714694743820879,2.9496883350525844,4.804840381116659,13,33,76,6,16,33,1,43,47.0,50200.0,25,41094.0,0,0,0,0,0,0,0,0,0
1,0.7419373447293773,2.5726122302071057,0.09531017980432493,1.8082887711792655,2.4069451083182885,2.312535423847214,1.8931119634883424,2.4069451083182885,2.8390784635086144,4.345103280569283,13,32,56,6,15,22,1,24,80.0,72300.0,30,53513.457361167966,0,0,0,0,1,1,1,0,0
0,0.09531017980432493,0.09531017980432493,0.09531017980432493,0.09531017980432493,3.2228678461377385,3.2228678461377385,3.2228678461377385,3.2228678461377385,3.0492730404820207,3.0492730404820207,11,18,16,5,8,7,0,22,51.0,107100.0,32,50832.0,0,1,0,0,0,0,1,0,0
1,0.09531017980432493,0.09531017980432493,-2.3025850929940455,-2.3025850929940455,3.0007198150650303,3.0007198150650303,3.0007198150650303,2.8390784635086144,2.9496883350525844,2.9496883350525844,10,14,12,4,4,4,0,29,75.0,65100.0,30,53513.457361167966,0,1,0,0,0,1,1,0,0
1,0.7419373447293773,0.7419373447293773,0.09531017980432493,0.09531017980432493,3.0007198150650303,2.8678989020441064,2.8678989020441064,2.714694743820879,2.89591193827178,3.139832617527748,12,24,21,6,12,10,0,22,70.0,107100.0,32,77654.0,0,0,0,1,0,1,0,0,0
1,0.7419373447293773,0.7419373447293773,0.09531017980432493,0.09531017980432493,2.714694743820879,2.312535423847214,2.312535423847214,1.62924053973028,2.89591193827178,3.370738174177447,10,23,21,4,9,8,0,28,59.0,45200.0,31,35302.0,0,0,0,0,0,0,0,0,0
1,0.09531017980432493,2.5726122302071057,-2.3025850929940455,1.8082887711792655,3.0007198150650303,3.0007198150650303,2.3350522831315472,2.1615973996930684,2.9496883350525844,4.635699391022914,13,31,60,6,6,25,1,25,42.0,78200.0,25,58530.0,0,0,0,0,0,0,1,0,0
1,1.8082887711792655,3.7864597824528,0.7419373447293773,2.312535423847214,2.312535423847214,2.9496883350525844,2.7459880404426023,2.9496883350525844,1.62924053973028,5.231643233280044,29,51,118,11,22,38,0,0,64.5,65000.0,0,58530.0,0,0,0,0,0,0,0,0,1
1,0.09531017980432493,0.09531017980432493,0.09531017980432493,0.09531017980432493,3.0007198150650303,3.0007198150650303,3.0007198150650303,3.0007198150650303,3.1822118404966093,3.1822118404966093,8,18,16,3,7,6,0,25,47.0,85900.0,25,51013.0,0,0,0,1,0,0,1,0,0
0,1.1314021114911006,2.89591193827178,1.1314021114911006,2.5726122302071057,2.312535423847214,2.2082744135228043,1.5993875765805987,2.2082744135228043,2.8390784635086144,4.829113417472866,13,28,68,6,13,27,1,43,53.0,47100.0,24,43756.0,0,0,0,0,1,0,0,0,0
1,0.7419373447293773,2.6461747973841225,-2.3025850929940455,1.410986973710262,2.5726122302071057,2.4069451083182885,1.9892432737616872,2.6619665279224902,3.0492730404820207,4.455509411433685,12,30,59,5,5,23,1,49,59.15084489627696,68300.0,31,43756.0,0,0,0,0,0,0,0,0,1
0,0.7419373447293773,1.1314021114911006,0.09531017980432493,0.09531017980432493,3.0007198150650303,2.7788192719904172,2.6461747973841225,3.0007198150650303,3.1822118404966093,3.7864597824528,11,28,33,6,13,13,0,44,65.0,68300.0,40,43756.0,0,0,0,0,0,1,0,0,0
1,1.410986973710262,2.6461747973841225,0.7419373447293773,1.9600947840472698,2.312535423847214,2.151762203259462,1.9501867058225735,2.2617630984737906,3.139832617527748,4.844974178195408,12,32,68,6,15,29,0,24,42.0,149700.0,40,53466.0,0,0,0,0,0,0,0,0,0
0,0.7419373447293773,2.4932054526026954,0.7419373447293773,2.4932054526026954,2.312535423847214,2.533696813957432,2.2082744135228043,2.533696813957432,2.7788192719904172,4.6061696863211745,4,12,35,2,6,18,1,22,81.0,72800.0,8,53513.457361167966,1,0,0,0,0,1,0,0,0
0,0.7419373447293773,0.7419373447293773,-2.3025850929940455,-2.3025850929940455,2.7788192719904172,2.5726122302071057,2.5726122302071057,2.731115474033206,2.7788192719904172,3.0007198150650303,12,18,17,5,5,6,0,30,38.0,45600.0,29,40262.0,0,0,0,1,0,0,0,0,0
1,0.09531017980432493,1.1314021114911006,-2.3025850929940455,0.7419373447293773,3.0007198150650303,3.0007198150650303,2.2438960966453663,2.8678989020441064,3.261935314328648,4.220977213155467,9,20,34,4,4,12,0,44,56.0,70700.0,27,40262.0,0,0,0,0,0,0,1,0,0
1,0.7419373447293773,1.1314021114911006,-2.3025850929940455,0.09531017980432493,3.0007198150650303,2.7788192719904172,2.6461747973841225,2.6619665279224902,2.9496883350525844,3.7864597824528,14,31,35,6,6,13,0,43,59.15084489627696,53500.0,37,43481.0,0,0,0,0,0,1,0,1,1
0,1.1314021114911006,1.1314021114911006,0.7419373447293773,0.7419373447293773,2.714694743820879,2.344686269012681,2.344686269012681,2.0918640616783932,2.89591193827178,3.4688560301359703,12,28,25,6,13,11,0,40,51.0,66200.0,20,51338.0,0,0,0,0,0,0,0,0,0
1,2.0918640616783932,3.0492730404820207,1.8082887711792655,2.4932054526026954,2.2082744135228043,1.9947003132247452,2.234306252240751,2.050270164379556,1.410986973710262,4.318820558770089,25,46,88,11,21,32,1,27,57.0,86000.0,35,51338.0,0,0,0,0,0,0,1,0,1
0,1.410986973710262,2.2082744135228043,0.09531017980432493,0.7419373447293773,1.62924053973028,1.8484548129046001,1.7715567619105355,1.62924053973028,2.89591193827178,3.9531649487593215,12,32,40,6,15,16,0,41,69.0,46700.0,24,42855.0,0,0,0,0,0,0,0,0,0
1,1.62924053973028,2.89591193827178,1.1314021114911006,2.5726122302071057,2.0918640616783932,2.0412203288596382,1.7526720805200082,1.9125010869241836,2.7788192719904172,4.86830338551846,11,30,70,6,16,30,1,32,63.0,43900.0,43,28618.0,0,0,0,0,1,0,0,0,1
0,0.09531017980432493,1.1314021114911006,-2.3025850929940455,0.09531017980432493,2.714694743820879,2.714694743820879,2.344686269012681,1.7808670280616312,2.8390784635086144,3.9531649487593215,10,23,27,4,4,12,0,5,59.0,105500.0,43,45910.0,0,0,0,0,0,0,1,0,0
0,0.09531017980432493,1.62924053973028,0.09531017980432493,0.7419373447293773,2.714694743820879,2.714694743820879,2.4932054526026954,2.714694743820879,3.0492730404820207,4.160444363926624,10,26,44,4,10,15,0,40,50.0,76900.0,28,53804.0,0,0,0,0,0,0,0,0,0
0,0.7419373447293773,0.7419373447293773,0.7419373447293773,0.7419373447293773,3.2228678461377385,2.6461747973841225,2.6461747973841225,2.6461747973841225,3.139832617527748,3.4995332823830174,14,30,28,6,13,11,0,34,52.0,124400.0,27,78433.0,0,0,0,0,0,0,1,0,0
1,1.8082887711792655,2.2082744135228043,0.7419373447293773,1.410986973710262,1.8082887711792655,1.8870696490323797,1.860974538249528,1.8870696490323797,3.0007198150650303,3.9531649487593215,14,35,42,6,16,16,1,35,69.0,93000.0,31,59061.0,0,0,0,0,1,0,1,0,0
0,0.7419373447293773,0.7419373447293773,-2.3025850929940455,-2.3025850929940455,3.0007198150650303,2.714694743820879,2.714694743820879,2.714694743820879,2.89591193827178,3.4372078191851885,10,24,22,4,4,9,0,44,33.0,82200.0,31,59061.0,0,0,0,0,0,0,0,0,0
0,1.410986973710262,2.714694743820879,1.1314021114911006,2.312535423847214,1.62924053973028,1.62924053973028,1.691939133945844,1.62924053973028,2.8390784635086144,4.6549122778829055,12,27,62,4,11,22,1,41,73.0,86100.0,0,53513.457361167966,0,0,0,0,1,1,1,0,0
1,1.62924053973028,2.7788192719904172,0.7419373447293773,2.0918640616783932,1.410986973710262,1.4586150226995167,1.332366019094335,1.5260563034950492,2.7788192719904172,4.821087692210561,13,32,62,6,15,27,1,41,70.0,42900.0,23,37148.0,0,0,0,0,0,0,1,0,0
0,0.7419373447293773,0.7419373447293773,0.7419373447293773,0.7419373447293773,3.0007198150650303,3.0007198150650303,3.0007198150650303,3.0007198150650303,3.139832617527748,3.370738174177447,10,20,19,4,9,8,0,36,67.0,40500.0,25,37148.0,0,0,0,0,0,0,1,0,0
1,0.7419373447293773,2.5726122302071057,0.09531017980432493,1.8082887711792655,3.0007198150650303,2.8678989020441064,2.364620483913498,2.714694743820879,3.261935314328648,4.754451888703846,10,32,62,5,16,30,1,40,47.0,62800.0,26,48625.0,0,0,0,0,0,1,1,0,1
0,0.7419373447293773,1.410986973710262,0.09531017980432493,1.1314021114911006,2.714694743820879,2.4932054526026954,2.2082744135228043,2.714694743820879,3.1822118404966093,4.027135812528651,10,28,39,5,12,14,0,43,47.0,65100.0,24,48625.0,0,0,0,0,0,1,0,0,1
0,0.09531017980432493,2.89591193827178,-2.3025850929940455,2.312535423847214,3.0007198150650303,3.0007198150650303,2.318458442150336,2.6282852326333477,3.0492730404820207,4.796616650559047,13,33,75,6,6,30,1,36,61.0,62500.0,29,48625.0,0,0,0,0,0,1,1,0,0
0,0.7419373447293773,0.7419373447293773,0.09531017980432493,0.09531017980432493,3.2228678461377385,3.0007198150650303,3.0007198150650303,2.714694743820879,2.714694743820879,3.370738174177447,12,26,23,5,11,10,0,40,47.0,59500.0,30,53513.457361167966,0,0,0,0,0,1,0,0,1
0,0.09531017980432493,0.7419373447293773,0.09531017980432493,0.7419373447293773,2.7788192719904172,2.7788192719904172,2.5726122302071057,2.7788192719904172,2.9496883350525844,3.9721769282478934,11,19,27,4,7,10,0,36,67.0,61700.0,27,53513.457361167966,0,0,0,0,0,1,0,0,0
1,1.410986973710262,1.410986973710262,0.09531017980432493,0.09531017980432493,2.312535423847214,1.7227665977411035,1.7227665977411035,1.62924053973028,3.0007198150650303,3.4688560301359703,13,26,25,6,11,9,0,43,70.0,66000.0,18,41736.0,0,0,0,0,0,0,0,0,0
1,0.09531017980432493,0.09531017980432493,0.09531017980432493,0.09531017980432493,2.714694743820879,2.714694743820879,2.714694743820879,2.714694743820879,2.9496883350525844,2.9496883350525844,10,16,14,4,7,6,0,40,41.0,74400.0,42,41736.0,0,1,0,0,0,0,0,0,0
0,1.8082887711792655,2.6461747973841225,0.7419373447293773,1.1314021114911006,1.1314021114911006,1.3270750014599193,1.3001916620664788,1.62924053973028,2.714694743820879,4.235554730773624,12,31,60,6,16,20,0,35,54.5,56500.0,32,40898.0,0,0,0,0,0,1,0,0,1
0,1.410986973710262,3.0492730404820207,0.7419373447293773,2.2082744135228043,2.312535423847214,2.6979998652487085,2.4024304279637616,2.8678989020441064,2.9496883350525844,4.7104306966455844,30,51,103,6,17,29,1,50,71.0,89400.0,24,40898.0,0,0,0,0,0,1,0,0,0
0,1.62924053973028,2.89591193827178,0.7419373447293773,2.0918640616783932,2.714694743820879,2.714694743820879,2.5423890852013624,2.714694743820879,2.8390784635086144,4.318820558770089,13,35,64,6,17,24,1,40,41.0,67900.0,40,40898.0,0,0,0,0,1,0,1,0,0
1,0.09531017980432493,0.09531017980432493,0.09531017980432493,0.09531017980432493,3.2228678461377385,3.2228678461377385,3.2228678461377385,3.2228678461377385,3.1822118404966093,3.1822118404966093,6,16,14,2,6,5,0,50,69.0,44400.0,15,45566.0,0,0,0,1,0,1,0,0,0
0,0.7419373447293773,2.9496883350525844,-2.3025850929940455,2.0918640616783932,2.312535423847214,2.312535423847214,2.286455711064162,2.66374994220563,3.261935314328648,4.522874943261261,10,32,59,5,5,24,1,40,71.0,76900.0,34,53513.457361167966,0,0,0,0,0,0,1,0,0
0,1.1314021114911006,1.1314021114911006,0.09531017980432493,0.09531017980432493,3.2228678461377385,3.080532875246456,3.080532875246456,3.2228678461377385,3.1822118404966093,3.40452517175483,12,27,24,6,13,11,0,47,60.0,53100.0,28,39914.0,0,0,0,0,0,1,1,0,1
1,1.1314021114911006,2.5726122302071057,0.7419373447293773,2.312535423847214,2.312535423847214,2.312535423847214,2.199444334074532,2.312535423847214,3.0007198150650303,4.701389043728634,13,30,57,6,13,23,1,43,63.5,57600.0,19,53513.457361167966,0,0,0,0,1,1,0,1,1
1,2.4069451083182885,3.6402142821326553,1.9600947840472698,3.139832617527748,1.62924053973028,1.6467336971777973,1.6233408176030917,1.6563214983329506,2.714694743820879,4.844974178195408,14,34,83,7,18,34,1,35,69.0,66900.0,40,42537.0,0,0,0,0,1,0,0,0,0
1,1.62924053973028,2.714694743820879,0.09531017980432493,1.8082887711792655,1.62924053973028,1.7404661748405044,1.6034198401085373,1.8082887711792655,2.714694743820879,4.575741375297279,12,31,64,5,13,26,1,39,50.0,68300.0,25,49836.0,0,0,0,0,1,0,0,0,0
1,1.8082887711792655,3.6402142821326553,1.410986973710262,2.714694743820879,2.2082744135228043,2.0706530356467567,1.8702625307159986,2.060513531794317,2.8390784635086144,4.852811208902689,10,30,78,5,16,31,1,40,61.5,102400.0,29,53513.457361167966,0,0,0,0,1,1,0,0,1
0,0.09531017980432493,3.0007198150650303,-2.3025850929940455,2.4069451083182885,2.714694743820879,2.714694743820879,2.379546134130174,2.451005098112319,3.0492730404820207,4.821087692210561,12,30,76,6,6,29,1,24,47.0,138100.0,20,49601.0,0,0,0,0,0,0,1,0,0
0,1.410986973710262,2.89591193827178,0.09531017980432493,2.312535423847214,2.714694743820879,2.714694743820879,2.2202898502672155,2.714694743820879,3.1822118404966093,4.812997033190408,11,33,70,6,17,32,1,32,65.0,45900.0,21,45037.0,0,0,0,0,0,0,0,0,0
0,1.1314021114911006,1.1314021114911006,-2.3025850929940455,-2.3025850929940455,3.0492730404820207,2.6224923127405635,2.6224923127405635,2.0061985799121183,2.714694743820879,3.4688560301359703,12,25,25,5,5,9,0,32,73.0,50600.0,8,45037.0,0,0,0,0,0,1,1,0,0
