SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE
149655,Cash loans,14846.4,67500.0,78007.5,,67500.0
138025,Consumer loans,6654.78,68310.0,68310.0,0.0,68310.0
132943,Consumer loans,5744.52,127372.5,127372.5,0.0,127372.5
187984,Consumer loans,21125.925,113580.0,119578.5,0.0,113580.0
434018,Consumer loans,61395.93,328261.5,321907.5,22500.0,328261.5
246048,Consumer loans,2560.545,28710.0,21663.0,9000.0,28710.0
176686,Cash loans,,0.0,0.0,,
320407,Revolving loans,11250.0,225000.0,225000.0,,225000.0
243867,Cash loans,34745.13,472500.0,541107.0,,472500.0
408304,Consumer loans,8183.295,62995.5,69232.5,0.0,62995.5
331721,Consumer loans,3695.4,25326.0,27414.0,0.0,25326.0
223085,Consumer loans,2518.605,23346.0,21006.0,2340.0,23346.0
390853,Cash loans,,0.0,0.0,,
390627,Cash loans,54732.96,1129500.0,1211503.5,,1129500.0
372644,Revolving loans,,0.0,0.0,,
312566,Revolving loans,,0.0,0.0,,
353292,Revolving loans,38250.0,765000.0,765000.0,,765000.0
152442,Cash loans,16677.0,450000.0,450000.0,,450000.0
271652,Cash loans,6160.275,135000.0,161730.0,,135000.0
235471,Cash loans,17209.755,135000.0,143910.0,,135000.0
268025,Consumer loans,17232.03,168741.0,183217.5,0.0,168741.0
161499,Consumer loans,10405.665,206419.5,229756.5,0.0,206419.5
157867,Cash loans,,0.0,0.0,,
160194,Cash loans,,0.0,0.0,,
379206,Cash loans,,0.0,0.0,,
369833,Revolving loans,,0.0,0.0,,
299084,Cash loans,12074.31,135000.0,152820.0,,135000.0
133345,Cash loans,9804.285,67500.0,82611.0,,67500.0
399743,Revolving loans,13500.0,270000.0,270000.0,,270000.0
189274,Cash loans,12331.26,351000.0,443664.0,,351000.0
402812,Consumer loans,9139.725,42480.0,44824.5,4590.0,42480.0
208327,Consumer loans,13028.4,118440.0,118440.0,0.0,118440.0
127795,Revolving loans,11250.0,0.0,225000.0,,
204260,Consumer loans,6105.96,89541.0,102811.5,0.0,89541.0
298052,Consumer loans,17674.83,213750.0,241258.5,0.0,213750.0
241212,Consumer loans,4505.715,34065.0,29565.0,4500.0,34065.0
441792,Cash loans,6420.06,54000.0,64561.5,,54000.0
281513,Consumer loans,7556.22,71955.0,79555.5,0.0,71955.0
454525,Consumer loans,4408.83,20245.5,21622.5,2025.0,20245.5
393233,Consumer loans,12504.24,119024.55,132390.0,11906.55,119024.55
140053,Cash loans,19368.585,454500.0,508495.5,,454500.0
102332,Cash loans,43681.5,1350000.0,1350000.0,,1350000.0
331616,Consumer loans,,39532.5,39532.5,0.0,39532.5
128964,Consumer loans,14850.0,135000.0,135000.0,0.0,135000.0
314557,Consumer loans,40500.45,238842.0,238842.0,0.0,238842.0
429903,Consumer loans,4289.58,35955.0,21204.0,15750.0,35955.0
271340,Cash loans,11916.315,135000.0,178308.0,,135000.0
340671,Revolving loans,,0.0,0.0,,
133822,Consumer loans,8358.345,204426.0,183982.5,20443.5,204426.0
218145,Consumer loans,5732.415,53082.0,52501.5,5310.0,53082.0
292989,Cash loans,23567.85,229500.0,241920.0,,229500.0
168953,Cash loans,15120.0,135000.0,135000.0,0.0,135000.0
338781,Cash loans,46345.32,1012500.0,1115410.5,,1012500.0
209132,Consumer loans,9995.49,98505.0,108909.0,0.0,98505.0
398008,Cash loans,14216.355,180000.0,203760.0,,180000.0
251348,Consumer loans,3997.62,19323.0,19602.0,1935.0,19323.0
441865,Cash loans,10171.89,153000.0,153000.0,,153000.0
346796,Consumer loans,11381.13,53394.75,42714.0,10680.75,53394.75
140250,Consumer loans,26263.44,283500.0,226800.0,56700.0,283500.0
296818,Cash loans,,0.0,0.0,,
351645,Cash loans,16062.3,405000.0,405000.0,,405000.0
447067,Cash loans,7521.705,63000.0,67158.0,0.0,63000.0
251414,Consumer loans,11676.51,123705.0,61852.5,61852.5,123705.0
239310,Consumer loans,4124.07,39915.0,30915.0,9000.0,39915.0
407228,Consumer loans,11867.67,52942.5,62356.5,0.0,52942.5
133720,Cash loans,24639.21,337500.0,368685.0,,337500.0
363377,Consumer loans,6730.92,46561.5,42439.5,6750.0,46561.5
400827,Consumer loans,22346.46,451215.0,490527.0,0.0,451215.0
128516,Consumer loans,8352.27,60389.595,42268.5,18121.095,60389.595
405440,Consumer loans,9328.68,81675.0,79978.5,8167.5,81675.0
264726,Consumer loans,9055.035,42489.225,33984.0,8505.225,42489.225
307072,Cash loans,,0.0,0.0,,
236547,Consumer loans,33750.27,192375.0,192375.0,0.0,192375.0
268359,Consumer loans,10398.465,103995.0,93595.5,10399.5,103995.0
147504,Consumer loans,4085.595,40860.0,36774.0,4086.0,40860.0
146296,Revolving loans,16875.0,337500.0,337500.0,,337500.0
294478,Cash loans,34955.775,405000.0,442422.0,,405000.0
353794,Cash loans,37984.5,450000.0,543879.0,,450000.0
153837,Consumer loans,21349.35,194085.0,194085.0,0.0,194085.0
232955,Consumer loans,5638.77,72360.0,45940.5,36000.0,72360.0
230036,Cash loans,,0.0,0.0,,
191202,Consumer loans,6083.37,56205.0,54756.0,5620.5,56205.0
294478,Revolving loans,,0.0,0.0,,
310485,Cash loans,,0.0,0.0,,
391094,Revolving loans,,0.0,0.0,,
324013,Cash loans,34987.32,342000.0,357799.5,,342000.0
246252,Cash loans,15959.025,148500.0,173997.0,,148500.0
366026,Cash loans,25996.365,337500.0,384277.5,,337500.0
246626,Cash loans,19867.5,675000.0,675000.0,,675000.0
410302,Cash loans,16423.65,225000.0,254700.0,,225000.0
354028,Cash loans,11982.915,112500.0,119925.0,,112500.0
346945,Consumer loans,,130950.0,130950.0,0.0,130950.0
207970,Consumer loans,2973.24,22387.5,21798.0,2250.0,22387.5
270983,Cash loans,,0.0,0.0,,
266864,Consumer loans,3400.47,24826.5,24921.0,4968.0,24826.5
434413,Consumer loans,4026.51,30330.0,29520.0,3060.0,30330.0
435504,Cash loans,22454.595,112500.0,116212.5,0.0,112500.0
408052,Consumer loans,4495.41,41080.5,36972.0,4108.5,41080.5
141849,Revolving loans,10125.0,202500.0,202500.0,,202500.0
170045,Cash loans,27901.125,787500.0,787500.0,,787500.0
175824,Cash loans,58335.975,1350000.0,1467612.0,,1350000.0
291532,Cash loans,28820.655,225000.0,271611.0,,225000.0
143976,Cash loans,,0.0,0.0,,
159199,Consumer loans,11563.02,103500.0,103500.0,0.0,103500.0
411516,Cash loans,14139.36,67500.0,69727.5,,67500.0
324796,Consumer loans,7775.19,77035.5,77035.5,0.0,77035.5
322803,Consumer loans,8054.055,86287.5,86287.5,0.0,86287.5
216850,Cash loans,26924.04,229500.0,253737.0,,229500.0
340768,Cash loans,11915.1,157500.0,178290.0,,157500.0
350566,Cash loans,10980.36,90000.0,95940.0,0.0,90000.0
357930,Cash loans,10456.695,135000.0,148365.0,,135000.0
389665,Cash loans,10560.06,99000.0,125703.0,,99000.0
112591,Cash loans,18251.73,391500.0,391500.0,,391500.0
273473,Consumer loans,7465.005,84577.5,73962.0,16915.5,84577.5
266416,Cash loans,39711.51,1125000.0,1500417.0,,1125000.0
289732,Consumer loans,14620.275,145795.5,145071.0,14580.0,145795.5
295941,Consumer loans,4424.76,31653.0,30600.0,3168.0,31653.0
377555,Cash loans,5674.5,45000.0,54103.5,,45000.0
335904,Consumer loans,10987.83,50755.5,53437.5,0.0,50755.5
135471,Cash loans,,0.0,0.0,,
400713,Cash loans,52760.16,1597500.0,1913805.0,,1597500.0
282059,Consumer loans,2256.93,17415.0,16024.5,2610.0,17415.0
329990,Consumer loans,25504.875,337500.0,337500.0,0.0,337500.0
117403,Consumer loans,6878.205,58050.0,57366.0,5850.0,58050.0
386281,Consumer loans,,35865.0,35865.0,0.0,35865.0
169178,Cash loans,,0.0,0.0,,
440541,Cash loans,16097.04,180000.0,203760.0,,180000.0
297557,Cash loans,,0.0,0.0,,
299415,Consumer loans,11731.32,102816.0,102816.0,0.0,102816.0
169659,Cash loans,19136.97,225000.0,284400.0,,225000.0
338537,Consumer loans,9877.41,80500.5,50850.0,32202.0,80500.5
216564,Cash loans,16591.5,135000.0,135000.0,0.0,135000.0
117223,Cash loans,22695.75,319500.0,362727.0,,319500.0
409040,Consumer loans,17031.285,185931.0,185931.0,0.0,185931.0
167600,Consumer loans,4974.03,23355.0,27378.0,0.0,23355.0
427614,Consumer loans,6141.78,53950.5,59647.5,0.0,53950.5
382367,Consumer loans,4807.53,24736.5,26041.5,0.0,24736.5
185856,Consumer loans,3365.505,41683.5,33345.0,8338.5,41683.5
274698,Cash loans,6532.56,67500.0,73071.0,0.0,67500.0
295476,Revolving loans,,0.0,0.0,,
445063,Consumer loans,7624.215,149346.0,166158.0,0.0,149346.0
442518,Consumer loans,9813.285,79020.0,86841.0,0.0,79020.0
353987,Consumer loans,4056.345,72621.0,87048.0,0.0,72621.0
418600,Cash loans,30281.895,450000.0,515673.0,,450000.0
229255,Cash loans,55776.33,2254500.0,2254500.0,,2254500.0
340740,Consumer loans,8674.515,66807.0,72684.0,0.0,66807.0
168740,Cash loans,40671.0,900000.0,900000.0,,900000.0
375554,Revolving loans,13500.0,270000.0,270000.0,,270000.0
275671,Revolving loans,2250.0,45000.0,45000.0,,45000.0
282306,Consumer loans,7150.545,42295.5,45085.5,0.0,42295.5
166263,Cash loans,,180000.0,180000.0,0.0,180000.0
378449,Cash loans,,0.0,0.0,,
337305,Cash loans,21389.895,180000.0,231786.0,0.0,180000.0
395239,Consumer loans,12102.48,104616.0,103351.5,10575.0,104616.0
281401,Consumer loans,7750.845,72027.0,71239.5,7204.5,72027.0
356709,Revolving loans,16875.0,337500.0,337500.0,,337500.0
172199,Revolving loans,2250.0,45000.0,45000.0,,45000.0
313407,Consumer loans,2172.195,17995.5,20259.0,0.0,17995.5
335064,Revolving loans,22500.0,450000.0,450000.0,,450000.0
415346,Cash loans,,0.0,0.0,,
359808,Cash loans,18823.455,180000.0,191880.0,,180000.0
237569,Revolving loans,16875.0,765000.0,337500.0,,765000.0
250224,Cash loans,,0.0,0.0,,
195675,Consumer loans,40630.095,253935.0,228541.5,25393.5,253935.0
310881,Consumer loans,5922.99,38925.0,37345.5,3892.5,38925.0
438357,Revolving loans,9000.0,0.0,180000.0,,
284647,Cash loans,41360.895,990000.0,1119375.0,,990000.0
177505,Cash loans,29877.48,675000.0,767664.0,,675000.0
348226,Consumer loans,11906.73,113818.5,119434.5,6750.0,113818.5
257346,Cash loans,,0.0,0.0,,
310299,Consumer loans,4582.26,36531.0,45468.0,0.0,36531.0
434497,Consumer loans,,62955.0,62955.0,0.0,62955.0
212765,Revolving loans,11250.0,225000.0,225000.0,,225000.0
451217,Consumer loans,17403.12,171715.5,186448.5,0.0,171715.5
428993,Consumer loans,9879.075,92025.0,82822.5,9202.5,92025.0
201728,Cash loans,,0.0,0.0,,
353771,Cash loans,13664.25,135000.0,143910.0,,135000.0
206259,Consumer loans,3968.46,20936.43,19773.0,2094.93,20936.43
198474,Cash loans,,0.0,0.0,,
224147,Consumer loans,6199.02,60772.5,60466.5,6079.5,60772.5
281500,Consumer loans,6890.13,67207.5,67207.5,0.0,67207.5
249970,Cash loans,,0.0,0.0,,
343299,Consumer loans,14148.0,191196.0,215802.0,0.0,191196.0
376520,Cash loans,,0.0,0.0,,
207011,Cash loans,31049.865,540000.0,582768.0,,540000.0
349711,Revolving loans,2250.0,45000.0,45000.0,,45000.0
428378,Cash loans,11386.17,90000.0,95940.0,,90000.0
378377,Cash loans,,0.0,0.0,,
266980,Cash loans,12558.33,144000.0,158256.0,,144000.0
323872,Consumer loans,14366.16,166833.0,188302.5,0.0,166833.0
440470,Revolving loans,9000.0,0.0,180000.0,,
233902,Consumer loans,6387.615,44775.0,40275.0,4500.0,44775.0
272159,Cash loans,,0.0,0.0,,
228603,Cash loans,,0.0,0.0,,
391419,Cash loans,18571.995,135000.0,164223.0,0.0,135000.0
100702,Consumer loans,7617.69,100305.0,116194.5,0.0,100305.0
154884,Consumer loans,10107.405,79740.0,86755.5,0.0,79740.0
337273,Cash loans,9166.635,67500.0,81864.0,,67500.0
286238,Cash loans,41349.42,211500.0,218479.5,,211500.0
419650,Cash loans,14352.93,225000.0,254700.0,,225000.0
225762,Cash loans,,0.0,0.0,,
372235,Cash loans,19968.165,315000.0,383193.0,,315000.0
178625,Cash loans,,0.0,0.0,,
341962,Consumer loans,1981.62,21591.0,22315.5,2160.0,21591.0
425728,Cash loans,,0.0,0.0,,
128101,Cash loans,15191.235,112500.0,136444.5,,112500.0
216488,Consumer loans,15584.49,128547.0,125235.0,12856.5,128547.0
424245,Revolving loans,12375.0,247500.0,247500.0,,247500.0
292582,Consumer loans,2949.255,22995.0,25272.0,0.0,22995.0
314370,Consumer loans,9517.905,74475.0,67027.5,7447.5,74475.0
363395,Revolving loans,,0.0,0.0,,
225517,Consumer loans,8885.61,62955.0,71266.5,0.0,62955.0
117949,Consumer loans,13857.12,128470.5,125163.0,12847.5,128470.5
250095,Cash loans,15514.2,270000.0,270000.0,,270000.0
411502,Consumer loans,3068.37,16641.0,20002.5,0.0,16641.0
318301,Consumer loans,11181.24,103455.0,96390.0,15750.0,103455.0
288135,Cash loans,18369.9,360000.0,417024.0,,360000.0
438083,Cash loans,,0.0,0.0,,
394458,Cash loans,,0.0,0.0,,
214089,Cash loans,13854.465,103500.0,125527.5,,103500.0
204304,Consumer loans,3818.565,36391.5,40716.0,0.0,36391.5
158901,Cash loans,22556.475,225000.0,239850.0,,225000.0
207089,Consumer loans,10955.385,112455.0,112455.0,0.0,112455.0
194589,Cash loans,15737.985,135000.0,143910.0,0.0,135000.0
122357,Cash loans,,0.0,0.0,,
114355,Revolving loans,2250.0,45000.0,45000.0,,45000.0
242946,Consumer loans,16069.77,353812.5,353812.5,0.0,353812.5
225224,Consumer loans,7039.305,125946.0,152545.5,0.0,125946.0
359382,Cash loans,,0.0,0.0,,
201795,Consumer loans,8162.82,78705.0,77593.5,8100.0,78705.0
321615,Revolving loans,,0.0,0.0,,
442864,Consumer loans,6559.02,35050.5,32161.5,4500.0,35050.5
298642,Cash loans,17236.305,202500.0,222547.5,,202500.0
169435,Cash loans,44649.855,1354500.0,1499323.5,,1354500.0
370031,Cash loans,31349.79,675000.0,874471.5,,675000.0
293252,Consumer loans,11369.61,103468.5,103873.5,10350.0,103468.5
256043,Consumer loans,8972.775,81652.5,81652.5,0.0,81652.5
430713,Cash loans,19461.87,247500.0,287685.0,,247500.0
259219,Consumer loans,9515.835,97051.95,111465.0,0.45,97051.95
329684,Consumer loans,14575.815,74160.0,78075.0,0.0,74160.0
415621,Cash loans,,0.0,0.0,,
174412,Cash loans,21283.29,225000.0,269374.5,,225000.0
231590,Cash loans,16281.855,337500.0,384277.5,,337500.0
178740,Revolving loans,,0.0,0.0,,
238697,Consumer loans,5792.94,45166.5,49639.5,0.0,45166.5
427754,Consumer loans,17451.09,189135.0,170221.5,18913.5,189135.0
103363,Consumer loans,31068.675,267660.0,270936.0,13500.0,267660.0
146729,Consumer loans,1549.575,15660.0,15282.0,2160.0,15660.0
433644,Cash loans,20347.2,648000.0,648000.0,,648000.0
296896,Consumer loans,13456.395,98955.0,83736.0,19791.0,98955.0
450720,Consumer loans,11760.435,125995.5,125995.5,0.0,125995.5
338396,Consumer loans,15079.095,161550.0,161550.0,0.0,161550.0
115638,Consumer loans,8752.545,62550.0,46755.0,18000.0,62550.0
124173,Cash loans,10385.325,157500.0,157500.0,,157500.0
242077,Cash loans,,0.0,0.0,,
420832,Cash loans,,0.0,0.0,,
323149,Cash loans,19684.8,180000.0,180000.0,0.0,180000.0
408702,Consumer loans,10121.985,93600.0,102865.5,0.0,93600.0
275623,Cash loans,8538.885,67500.0,71955.0,,67500.0
436742,Consumer loans,30179.16,231831.0,247131.0,0.0,231831.0
179112,Consumer loans,10731.24,71955.0,56628.0,18000.0,71955.0
299371,Cash loans,7559.235,67500.0,71955.0,0.0,67500.0
369984,Cash loans,13472.73,67500.0,69727.5,0.0,67500.0
361277,Consumer loans,19836.675,132691.5,143640.0,0.0,132691.5
195471,Consumer loans,6529.275,152910.0,76455.0,76455.0,152910.0
426411,Cash loans,,0.0,0.0,,
187249,Consumer loans,5049.855,50163.75,55129.5,2.25,50163.75
108651,Consumer loans,7679.475,40455.0,26955.0,13500.0,40455.0
154474,Consumer loans,,28710.0,28710.0,0.0,28710.0
437364,Cash loans,,0.0,0.0,,
120759,Consumer loans,12380.4,131400.0,139045.5,6750.0,131400.0
137448,Consumer loans,5354.46,53550.0,48195.0,5355.0,53550.0
155963,Consumer loans,5988.42,84870.0,84870.0,0.0,84870.0
209952,Consumer loans,5217.84,115695.0,115695.0,0.0,115695.0
204668,Cash loans,14746.455,135000.0,143910.0,,135000.0
421036,Revolving loans,2250.0,45000.0,45000.0,,45000.0
298616,Cash loans,20327.805,360000.0,436032.0,,360000.0
281435,Cash loans,,0.0,0.0,,
387418,Consumer loans,3318.255,32877.0,32877.0,0.0,32877.0
312074,Cash loans,9036.135,67500.0,81864.0,,67500.0
410522,Revolving loans,,0.0,0.0,,
215379,Consumer loans,5496.12,31455.0,26955.0,4500.0,31455.0
278614,Consumer loans,9780.705,51750.0,48879.0,5175.0,51750.0
416820,Revolving loans,22500.0,0.0,450000.0,,
270178,Cash loans,,0.0,0.0,,
370507,Consumer loans,5486.4,37651.5,30118.5,7533.0,37651.5
275952,Cash loans,,0.0,0.0,,
194193,Revolving loans,9000.0,0.0,180000.0,,
435053,Consumer loans,6274.17,29785.5,31261.5,0.0,29785.5
297361,Cash loans,,0.0,0.0,,0.0
329357,Consumer loans,8054.19,80550.0,72495.0,8055.0,80550.0
158283,Revolving loans,9000.0,180000.0,180000.0,,180000.0
120940,Consumer loans,4918.68,113652.0,90918.0,22734.0,113652.0
322209,Consumer loans,,76455.0,76455.0,0.0,76455.0
398744,Cash loans,15689.115,247500.0,301077.0,,247500.0
233084,Cash loans,51949.44,1125000.0,1223010.0,,1125000.0
134531,Cash loans,,0.0,0.0,,
163736,Cash loans,51654.6,1575000.0,1762110.0,,1575000.0
247588,Cash loans,47029.5,900000.0,900000.0,,900000.0
293764,Cash loans,28997.1,900000.0,1054440.0,,900000.0
359010,Revolving loans,9000.0,180000.0,180000.0,,180000.0
346447,Consumer loans,12361.455,62793.0,59287.5,6300.0,62793.0
333588,Cash loans,37271.43,495000.0,534204.0,,495000.0
347134,Cash loans,13095.45,229500.0,309073.5,,229500.0
349429,Consumer loans,3000.06,17955.0,19377.0,0.0,17955.0
280023,Consumer loans,26695.935,146205.0,146205.0,0.0,146205.0
229557,Consumer loans,6999.48,69313.5,68967.0,6934.5,69313.5
111115,Consumer loans,14597.73,136710.0,148441.5,0.0,136710.0
158999,Consumer loans,8325.945,87745.5,87745.5,0.0,87745.5
249722,Consumer loans,5809.635,43029.0,47290.5,0.0,43029.0
242223,Consumer loans,,39136.5,39136.5,0.0,39136.5
377786,Revolving loans,15750.0,0.0,315000.0,,
398879,Consumer loans,6344.28,152316.0,136143.0,16173.0,152316.0
280490,Consumer loans,14921.37,121032.0,133812.0,0.0,121032.0
122161,Cash loans,6532.56,67500.0,73071.0,,67500.0
136967,Cash loans,10616.49,121500.0,133528.5,,121500.0
142019,Consumer loans,4662.72,42300.0,37800.0,4500.0,42300.0
239719,Cash loans,,0.0,0.0,,
292505,Cash loans,40363.74,810000.0,893398.5,,810000.0
176406,Cash loans,,0.0,0.0,,
175762,Cash loans,23844.78,454500.0,526491.0,,454500.0
275978,Consumer loans,11784.24,138631.5,124767.0,13864.5,138631.5
341981,Cash loans,26145.45,180000.0,220302.0,,180000.0
178032,Cash loans,10629.72,90000.0,115893.0,,90000.0
226862,Cash loans,,0.0,0.0,,
438167,Consumer loans,6828.795,68296.5,61465.5,6831.0,68296.5
401491,Cash loans,,0.0,0.0,,
198484,Consumer loans,8632.89,67500.0,73440.0,0.0,67500.0
318486,Cash loans,81563.895,1260000.0,1333179.0,,1260000.0
228393,Consumer loans,18896.4,189000.0,170100.0,18900.0,189000.0
383537,Revolving loans,6300.0,0.0,90000.0,,
200728,Cash loans,8446.725,67500.0,81157.5,,67500.0
428328,Cash loans,,0.0,0.0,,
193845,Consumer loans,5846.13,98986.5,98986.5,0.0,98986.5
314881,Cash loans,14019.705,135000.0,143910.0,,135000.0
327497,Revolving loans,,0.0,0.0,,
232269,Cash loans,36404.595,855000.0,941904.0,,855000.0
333404,Cash loans,74334.105,1575000.0,1668555.0,,1575000.0
400410,Cash loans,,0.0,0.0,,
374678,Cash loans,18665.01,225000.0,254700.0,0.0,225000.0
272558,Cash loans,14517.0,450000.0,450000.0,,450000.0
122153,Consumer loans,2489.76,24903.0,22410.0,2493.0,24903.0
200370,Consumer loans,9640.98,115187.4,103666.5,11520.9,115187.4
435891,Consumer loans,6116.985,29781.0,31257.0,0.0,29781.0
360066,Consumer loans,11923.65,125482.5,126243.0,12550.5,125482.5
342430,Cash loans,,0.0,0.0,,
175665,Consumer loans,3928.14,37440.0,33660.0,3780.0,37440.0
312944,Cash loans,,0.0,0.0,,
196310,Revolving loans,2250.0,45000.0,45000.0,,45000.0
312464,Revolving loans,11250.0,225000.0,225000.0,,225000.0
279017,Consumer loans,8994.6,89955.0,80959.5,8995.5,89955.0
264047,Cash loans,5286.555,90000.0,104850.0,,90000.0
344213,Cash loans,5166.36,45000.0,47970.0,,45000.0
148876,Cash loans,37998.0,1377000.0,1377000.0,,1377000.0
419347,Consumer loans,8214.705,69705.0,40828.5,34852.5,69705.0
245615,Revolving loans,,0.0,0.0,,
297219,Consumer loans,2845.44,19935.0,21910.5,0.0,19935.0
