TARGET_B,ID,TARGET_D,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCatStarAll,DemCluster,DemAge,DemMedHomeValue,DemPctVeterans,DemMedIncome,StatusCat96NK_E,StatusCat96NK_F,StatusCat96NK_L,StatusCat96NK_N,StatusCat96NK_S,DemHomeOwner_U,DemGender_M,DemGender_U
0,115374,,3,15,0,5,20.0,13.33,10.07,,18,98,13,34,74,6,6,32,1,49,67.0,93800.0,33,0.0,0,0,0,0,1,1,0,1
0,83613,,2,2,1,1,13.0,16.5,16.5,20.0,16,17,12,17,15,6,9,7,0,5,67.0,79600.0,31,52981.0,0,0,0,1,0,0,0,0
0,174124,,1,1,1,1,20.0,20.0,20.0,20.0,16,16,5,8,8,2,4,4,0,0,53.0,78100.0,8,40491.0,1,0,0,0,0,0,1,0
1,5532,15.0,2,14,2,6,14.0,10.0,9.93,10.0,4,64,30,50,103,6,16,24,1,37,76.0,169000.0,50,83169.0,0,0,0,0,1,0,1,0
1,189258,15.0,5,11,3,7,15.0,10.2,8.64,10.33,4,53,6,14,21,1,5,8,1,34,,135400.0,15,0.0,1,0,0,0,0,1,0,0
1,27634,5.0,5,16,3,7,15.0,7.8,5.38,9.67,25,103,8,25,43,4,13,17,0,35,,123600.0,22,0.0,0,0,0,0,0,1,1,0
1,190726,10.0,4,14,2,7,17.0,17.0,11.43,16.5,16,124,13,29,58,6,16,29,0,0,47.0,87500.0,44,40898.0,0,0,0,0,0,1,0,0
0,118908,,3,5,3,4,15.0,16.33,15.8,16.33,9,41,23,39,44,9,16,17,0,25,50.0,192800.0,0,71033.0,0,1,0,0,0,1,1,0
0,175262,,2,2,1,1,45.0,32.5,32.5,20.0,18,19,15,21,17,6,9,7,0,25,,103100.0,24,0.0,0,0,0,1,0,1,0,0
1,31911,5.0,5,7,4,5,5.0,4.8,4.29,3.5,16,41,15,32,32,6,14,13,1,12,,80000.0,37,57800.0,0,0,0,0,0,1,0,0
0,133244,,2,4,1,3,15.0,15.0,12.5,15.0,25,44,10,20,21,5,10,11,1,27,,81400.0,33,44194.0,0,0,0,0,0,0,1,0
0,103130,,7,18,4,10,10.0,7.0,6.28,6.5,19,57,13,33,48,6,17,21,1,43,41.0,54900.0,27,45164.0,0,0,0,0,1,1,1,0
1,34174,12.0,2,12,1,6,12.0,11.0,6.08,12.0,20,112,15,34,69,6,14,28,0,36,67.0,52900.0,35,53400.0,0,0,0,0,0,0,0,0
1,15038,25.0,1,10,1,9,19.0,19.0,12.8,19.0,17,108,14,32,66,6,15,27,1,40,75.0,84900.0,21,59500.0,0,0,0,0,0,1,1,0
0,186974,,1,3,1,1,10.0,25.0,13.67,25.0,7,21,16,23,21,5,8,7,0,40,,84900.0,21,0.0,0,0,0,1,0,1,1,0
0,189536,,2,2,1,1,16.0,13.0,13.0,16.0,24,28,10,23,22,4,10,9,0,42,41.0,111700.0,42,59500.0,0,0,0,0,0,0,1,0
1,15046,10.0,3,22,3,16,10.0,6.67,2.64,6.67,24,131,4,13,49,2,7,24,1,49,59.0,59500.0,23,0.0,0,0,0,0,0,1,0,0
1,15066,10.0,4,24,2,10,11.0,10.25,8.96,10.0,19,111,13,33,73,6,17,31,1,51,51.0,44400.0,33,40000.0,0,0,0,0,1,1,0,0
1,15086,10.0,6,22,3,9,25.0,15.17,14.18,13.33,16,99,14,36,76,6,17,28,1,49,,59500.0,23,0.0,0,0,0,0,1,1,0,0
0,15163,,1,1,0,0,20.0,20.0,20.0,,20,20,11,18,16,4,4,6,0,51,31.0,45400.0,11,37236.0,0,1,0,0,0,0,0,0
1,15219,25.0,1,1,1,1,25.0,25.0,25.0,25.0,21,21,10,17,15,4,7,6,0,40,,73000.0,36,50528.0,0,0,0,1,0,1,0,0
0,15237,,2,2,0,0,20.0,20.0,20.0,,16,20,12,18,17,5,5,6,0,49,54.0,54300.0,25,43729.0,0,0,0,1,0,1,0,0
0,15277,,2,16,2,12,15.0,15.0,11.31,15.0,19,122,13,33,76,6,16,33,1,43,47.0,50200.0,25,41094.0,0,0,0,0,0,0,0,0
1,15332,10.0,2,13,1,6,11.0,10.0,6.54,11.0,17,77,13,32,56,6,15,22,1,24,80.0,72300.0,30,0.0,0,0,0,0,1,1,1,0
0,15311,,1,1,1,1,25.0,25.0,25.0,25.0,21,21,11,18,16,5,8,7,0,22,51.0,107100.0,32,50832.0,0,1,0,0,0,0,1,0
1,15349,30.0,1,1,0,0,20.0,20.0,20.0,,19,19,10,14,12,4,4,4,0,29,75.0,65100.0,30,0.0,0,1,0,0,0,1,1,0
1,15350,15.0,2,2,1,1,20.0,17.5,17.5,15.0,18,23,12,24,21,6,12,10,0,22,70.0,107100.0,32,77654.0,0,0,0,1,0,1,0,0
1,15384,15.0,2,2,1,1,15.0,10.0,10.0,5.0,18,29,10,23,21,4,9,8,0,28,59.0,45200.0,31,35302.0,0,0,0,0,0,0,0,0
1,15445,20.0,1,13,0,6,20.0,20.0,10.23,,19,103,13,31,60,6,6,25,1,25,42.0,78200.0,25,58530.0,0,0,0,0,0,0,1,0
1,185774,12.0,6,44,2,10,10.0,19.0,15.48,19.0,5,187,29,51,118,11,22,38,0,0,,65000.0,0,58530.0,0,0,0,0,0,0,0,0
1,15416,30.0,1,1,1,1,20.0,20.0,20.0,20.0,24,24,8,18,16,3,7,6,0,25,47.0,85900.0,25,51013.0,0,0,0,1,0,0,1,0
0,15573,,3,18,3,13,10.0,9.0,4.85,9.0,17,125,13,28,68,6,13,27,1,43,53.0,47100.0,24,43756.0,0,0,0,0,1,0,0,0
1,15566,10.0,2,14,0,4,13.0,11.0,7.21,,21,86,12,30,59,5,5,23,1,49,,68300.0,31,43756.0,0,0,0,0,0,0,0,0
0,15549,,2,3,1,1,20.0,16.0,14.0,20.0,24,44,11,28,33,6,13,13,0,44,65.0,68300.0,40,43756.0,0,0,0,0,0,1,0,0
1,15651,10.0,4,14,2,7,10.0,8.5,6.93,9.5,23,127,12,32,68,6,15,29,0,24,42.0,149700.0,40,53466.0,0,0,0,0,0,0,0,0
0,190355,,2,12,2,12,10.0,12.5,9.0,12.5,16,100,4,12,35,2,6,18,1,22,81.0,72800.0,8,0.0,1,0,0,0,0,1,0,0
0,15659,,2,2,0,0,16.0,13.0,13.0,,16,20,12,18,17,5,5,6,0,30,38.0,45600.0,29,40262.0,0,0,0,1,0,0,0,0
1,15668,45.0,1,3,0,2,20.0,20.0,9.33,,26,68,9,20,34,4,4,12,0,44,56.0,70700.0,27,40262.0,0,0,0,0,0,0,1,0
1,15697,20.0,2,3,0,1,20.0,16.0,14.0,,19,44,14,31,35,6,6,13,0,43,,53500.0,37,43481.0,0,0,0,0,0,1,0,1
0,15704,,3,3,2,2,15.0,10.33,10.33,8.0,18,32,12,28,25,6,13,11,0,40,51.0,66200.0,20,51338.0,0,0,0,0,0,0,0,0
1,1799,10.0,8,21,6,12,9.0,7.25,9.24,7.67,4,75,25,46,88,11,21,32,1,27,,86000.0,35,51338.0,0,0,0,0,0,0,1,0
0,15756,,4,9,1,2,5.0,6.25,5.78,5.0,18,52,12,32,40,6,15,16,0,41,69.0,46700.0,24,42855.0,0,0,0,0,0,0,0,0
1,15772,10.0,5,18,3,13,8.0,7.6,5.67,6.67,16,130,11,30,70,6,16,30,1,32,,43900.0,43,28618.0,0,0,0,0,1,0,0,0
0,45922,,1,3,0,1,15.0,15.0,10.33,,17,52,10,23,27,4,4,12,0,5,59.0,105500.0,43,45910.0,0,0,0,0,0,0,1,0
0,15857,,1,5,1,2,15.0,15.0,12.0,15.0,21,64,10,26,44,4,10,15,0,40,50.0,76900.0,28,53804.0,0,0,0,0,0,0,0,0
0,15874,,2,2,2,2,25.0,14.0,14.0,14.0,23,33,14,30,28,6,13,11,0,34,52.0,124400.0,27,78433.0,0,0,0,0,0,0,1,0
1,15912,6.0,6,9,2,4,6.0,6.5,6.33,6.5,20,52,14,35,42,6,16,16,1,35,69.0,93000.0,31,59061.0,0,0,0,0,1,0,1,0
0,15902,,2,2,0,0,20.0,15.0,15.0,,18,31,10,24,22,4,4,9,0,44,33.0,82200.0,31,59061.0,0,0,0,0,0,0,0,0
0,15940,,4,15,3,10,5.0,5.0,5.33,5.0,17,105,12,27,62,4,11,22,1,41,73.0,86100.0,0,0.0,0,0,0,0,1,1,1,0
1,15965,5.0,5,16,2,8,4.0,4.2,3.69,4.5,16,124,13,32,62,6,15,27,1,41,70.0,42900.0,23,37148.0,0,0,0,0,0,0,1,0
0,15945,,2,2,2,2,20.0,20.0,20.0,20.0,23,29,10,20,19,4,9,8,0,36,67.0,40500.0,25,37148.0,0,0,0,0,0,0,1,0
1,16014,10.0,2,13,1,6,20.0,17.5,10.54,15.0,26,116,10,32,62,5,16,30,1,40,,62800.0,26,48625.0,0,0,0,0,0,1,1,0
0,15996,,2,4,1,3,15.0,12.0,9.0,15.0,24,56,10,28,39,5,12,14,0,43,,65100.0,24,48625.0,0,0,0,0,0,1,0,0
0,16011,,1,18,0,10,20.0,20.0,10.06,,21,121,13,33,75,6,6,30,1,36,61.0,62500.0,29,48625.0,0,0,0,0,0,1,1,0
0,15052,,2,2,1,1,25.0,20.0,20.0,15.0,15,29,12,26,23,5,11,10,0,40,,59500.0,30,0.0,0,0,0,0,0,1,0,0
0,16049,,1,2,1,2,16.0,16.0,13.0,16.0,19,53,11,19,27,4,7,10,0,36,67.0,61700.0,27,0.0,0,0,0,0,0,1,0,0
1,16099,12.0,4,4,1,1,10.0,5.5,5.5,5.0,20,32,13,26,25,6,11,9,0,43,70.0,66000.0,18,41736.0,0,0,0,0,0,0,0,0
1,16102,15.0,1,1,1,1,15.0,15.0,15.0,15.0,19,19,10,16,14,4,7,6,0,40,41.0,74400.0,42,41736.0,0,1,0,0,0,0,0,0
0,16136,,6,14,2,3,3.0,3.67,3.57,5.0,15,69,12,31,60,6,16,20,0,35,,56500.0,32,40898.0,0,0,0,0,0,1,0,0
0,4132,,4,21,2,9,10.0,14.75,10.95,17.5,19,111,30,51,103,6,17,29,1,50,71.0,89400.0,24,40898.0,0,0,0,0,0,1,0,0
0,16138,,5,18,2,8,15.0,15.0,12.61,15.0,17,75,13,35,64,6,17,24,1,40,41.0,67900.0,40,40898.0,0,0,0,0,1,0,1,0
1,16175,30.0,1,1,1,1,25.0,25.0,25.0,25.0,24,24,6,16,14,2,6,5,0,50,69.0,44400.0,15,45566.0,0,0,0,1,0,1,0,0
0,16215,,2,19,0,8,10.0,10.0,9.74,,26,92,10,32,59,5,5,24,1,40,71.0,76900.0,34,0.0,0,0,0,0,0,0,1,0
0,16230,,3,3,1,1,25.0,21.67,21.67,25.0,24,30,12,27,24,6,13,11,0,47,,53100.0,28,39914.0,0,0,0,0,0,1,1,0
1,16247,10.0,3,13,2,10,10.0,10.0,8.92,10.0,20,110,13,30,57,6,13,23,1,43,,57600.0,19,0.0,0,0,0,0,1,1,0,1
1,15800,5.0,11,38,7,23,5.0,5.09,4.97,5.14,15,127,14,34,83,7,18,34,1,35,69.0,66900.0,40,42537.0,0,0,0,0,1,0,0,0
1,16329,7.0,5,15,1,6,5.0,5.6,4.87,6.0,15,97,12,31,64,5,13,26,1,39,50.0,68300.0,25,49836.0,0,0,0,0,1,0,0,0
1,16973,8.0,6,38,4,15,9.0,7.83,6.39,7.75,17,128,10,30,78,5,16,31,1,40,,102400.0,29,0.0,0,0,0,0,1,1,0,0
0,16394,,1,20,0,11,15.0,15.0,10.7,,21,124,12,30,76,6,6,29,1,24,47.0,138100.0,20,49601.0,0,0,0,0,0,0,1,0
0,16480,,4,18,1,10,15.0,15.0,9.11,15.0,24,123,11,33,70,6,17,32,1,32,65.0,45900.0,21,45037.0,0,0,0,0,0,0,0,0
0,16450,,3,3,0,0,21.0,13.67,13.67,,15,32,12,25,25,5,5,9,0,32,73.0,50600.0,8,45037.0,0,0,0,0,0,1,1,0
1,188284,5.0,3,20,1,10,10.0,5.67,5.1,5.0,6,121,19,37,79,7,14,29,1,22,59.0,298900.0,28,53517.0,0,0,0,0,1,0,0,0
1,15648,20.0,3,22,2,14,16.0,14.67,8.95,15.5,22,130,13,35,73,6,17,33,1,28,,249000.0,22,73547.0,0,0,0,0,0,0,0,0
0,15720,,3,5,2,4,15.0,13.33,10.0,12.5,26,45,10,29,37,5,15,15,1,44,29.0,126400.0,36,73547.0,0,0,0,0,0,0,0,0
0,16532,,1,2,1,1,15.0,3.0,9.0,3.0,25,30,11,23,22,4,9,8,0,24,54.0,121400.0,24,73547.0,0,0,0,0,0,0,1,0
0,16562,,4,7,2,4,9.0,7.75,6.29,8.0,16,45,15,34,37,6,15,15,1,15,60.0,95900.0,11,51354.0,0,0,0,0,0,0,0,0
1,16643,12.5,3,3,1,1,15.0,13.67,13.67,16.0,18,27,12,26,23,6,13,11,0,24,83.0,89500.0,25,66208.0,0,0,0,1,0,0,0,0
1,188246,10.0,4,20,3,11,10.0,11.25,7.85,10.0,18,109,6,14,43,2,6,19,1,24,,93700.0,44,0.0,1,0,0,0,0,1,1,0
0,16662,,2,5,1,4,20.0,16.0,10.8,20.0,20,63,13,32,45,6,14,17,0,43,,57300.0,24,45926.0,0,0,0,0,0,1,0,1
0,18300,,1,6,0,2,20.0,20.0,17.83,,18,110,13,32,62,6,6,26,0,35,43.0,101900.0,31,78801.0,0,0,0,0,0,0,1,0
0,16688,,2,3,1,1,10.0,7.5,7.0,5.0,16,21,11,18,16,5,8,7,0,35,43.0,101800.0,28,67969.0,0,0,0,1,0,0,0,0
0,16723,,3,3,2,2,20.0,14.33,14.33,16.5,16,29,8,23,24,4,12,10,0,22,,92500.0,14,38494.0,0,0,0,0,0,1,0,0
0,16764,,1,8,0,2,15.0,25.0,14.88,,18,68,13,32,54,6,6,21,0,12,35.0,102800.0,26,82719.0,0,0,0,0,0,0,0,0
1,16771,5.0,3,18,1,11,5.0,5.0,4.72,5.0,19,111,5,18,50,2,7,19,1,35,77.0,201800.0,32,82719.0,0,0,0,0,1,0,0,0
1,16774,10.0,6,28,4,17,10.0,10.5,8.75,10.75,16,126,15,35,86,6,17,34,1,17,44.0,78600.0,18,82719.0,0,0,0,0,1,0,0,0
1,16777,35.0,2,2,1,1,25.0,15.0,15.0,5.0,15,29,10,20,20,3,7,7,0,11,45.0,96400.0,29,0.0,1,0,0,0,0,0,0,0
1,16813,10.0,4,5,2,2,6.0,6.75,6.6,6.0,15,24,13,22,21,5,9,8,1,24,72.0,124500.0,27,0.0,0,0,0,1,0,1,1,0
0,24281,,2,10,1,5,15.0,15.0,9.6,15.0,18,120,14,33,62,6,15,25,1,38,,194700.0,28,78656.0,0,0,0,0,0,1,0,0
0,16837,,1,17,0,8,15.0,15.0,9.59,,18,86,12,25,58,5,5,21,1,22,43.0,161000.0,20,78656.0,0,0,0,0,0,0,0,0
1,188155,8.0,5,20,4,13,7.0,6.8,6.05,6.75,16,102,6,14,41,2,6,19,1,22,,161000.0,20,0.0,1,0,0,0,0,1,0,1
1,190040,12.0,2,2,2,2,15.0,12.5,12.5,12.5,16,24,4,9,9,2,5,5,1,22,,161000.0,20,0.0,1,0,0,0,0,1,1,0
1,16863,50.0,3,4,3,4,25.0,18.33,15.0,18.33,16,44,16,32,39,6,14,14,0,22,64.0,95100.0,10,73793.0,0,0,0,0,0,1,0,0
1,16972,12.0,3,20,2,11,10.0,8.5,10.59,10.0,23,130,13,31,75,6,14,29,1,44,39.0,62100.0,23,56388.0,0,0,0,0,1,1,1,0
0,16889,,2,7,1,3,15.0,12.5,12.14,10.0,19,76,14,28,50,6,12,18,0,49,34.0,73900.0,16,56388.0,0,0,0,0,0,1,0,0
0,88361,,2,6,1,2,19.0,18.0,11.0,19.0,17,73,14,29,49,6,12,17,0,13,54.0,86000.0,29,0.0,0,0,0,0,0,1,0,1
0,16946,,3,3,2,2,20.0,14.0,14.0,15.0,17,34,12,29,26,6,14,12,0,35,55.0,86000.0,29,60293.0,0,0,0,0,0,0,0,0
0,17021,,1,1,1,1,15.0,15.0,15.0,15.0,16,16,11,16,13,4,6,5,0,40,37.0,86400.0,36,43934.0,0,1,0,0,0,1,1,0
1,17089,5.0,5,7,3,4,5.0,6.0,6.0,6.67,19,52,12,31,38,6,14,16,1,44,,60900.0,12,43241.0,0,0,0,0,1,1,0,0
1,17094,15.0,2,2,0,0,16.0,13.0,13.0,,18,28,10,23,21,4,4,9,0,35,57.0,89700.0,29,57017.0,0,0,0,0,0,0,0,0
1,17102,7.0,5,13,1,4,6.0,6.8,5.69,7.0,22,56,12,34,46,6,17,20,1,39,,68500.0,24,0.0,0,0,0,0,1,1,0,0
0,17117,,4,14,2,6,10.0,9.25,5.29,10.0,15,122,13,31,52,6,13,22,1,51,53.0,58000.0,33,42412.0,0,0,0,0,1,0,0,0
0,17118,,1,1,0,0,15.0,15.0,15.0,,15,15,8,10,10,2,2,3,0,46,,67500.0,26,41189.0,1,0,0,0,0,1,1,0
1,17145,20.0,1,1,1,1,20.0,20.0,20.0,20.0,16,16,12,17,14,5,7,6,0,50,,49700.0,24,40197.0,0,1,0,0,0,1,0,0
1,17217,10.0,3,17,3,9,10.0,6.67,6.71,6.67,18,63,13,33,61,5,15,21,1,49,67.0,62100.0,19,40308.0,0,0,0,0,0,1,1,0
1,16756,15.0,4,5,2,3,10.0,13.0,15.4,11.0,15,44,14,35,43,6,16,16,1,17,29.0,54200.0,32,43084.0,0,0,0,0,0,0,1,0
1,24311,3.0,2,9,2,7,16.0,16.5,10.22,16.5,24,105,11,29,60,5,14,25,0,42,,87700.0,39,0.0,0,0,0,0,0,1,0,0
0,17268,,3,23,1,10,10.0,10.0,6.09,10.0,24,130,12,33,74,6,16,32,1,50,46.0,45000.0,23,29767.0,0,0,0,0,1,0,1,0
0,17283,,3,17,1,6,3.0,10.0,4.71,10.0,18,105,13,34,65,6,17,27,1,49,39.0,61700.0,24,0.0,0,0,0,0,1,1,0,1
0,17279,,2,2,1,1,20.0,15.0,15.0,10.0,16,29,12,25,23,5,11,10,0,44,52.0,72800.0,30,51138.0,0,0,0,0,0,1,1,0
1,17255,20.0,1,7,1,5,16.0,16.0,12.71,16.0,15,77,14,31,54,5,12,19,1,34,,73500.0,29,54339.0,0,0,0,0,0,1,0,0
0,17333,,4,7,2,3,12.0,12.0,11.29,12.0,16,41,13,33,37,6,16,15,0,40,50.0,82800.0,21,53597.0,0,0,0,0,0,1,0,0
1,17452,32.0,4,7,3,5,40.0,27.5,18.86,28.33,18,45,25,46,70,10,20,27,1,25,,83200.0,27,53597.0,0,0,1,0,0,1,0,0
1,17378,15.0,1,4,1,3,20.0,20.0,11.25,20.0,17,53,14,31,38,6,14,15,0,34,31.0,106400.0,25,53635.0,0,0,0,0,0,0,0,0
0,17517,,1,4,1,3,15.0,15.0,12.25,15.0,16,64,12,28,45,4,10,14,0,35,,87300.0,24,0.0,0,0,0,0,0,1,0,0
1,17418,13.0,3,4,3,3,11.0,11.0,9.75,11.0,16,27,13,27,27,6,13,11,0,15,43.0,85300.0,14,65546.0,0,0,0,0,0,0,0,0
0,17435,,1,1,1,1,25.0,25.0,25.0,25.0,16,16,12,16,13,5,7,6,0,25,38.0,92700.0,7,73864.0,0,1,0,0,0,0,1,0
0,17511,,1,2,1,1,20.0,20.0,17.5,20.0,27,33,10,25,25,4,10,10,0,35,33.0,86800.0,22,40491.0,0,0,0,0,0,0,1,0
0,17590,,1,11,1,8,30.0,30.0,19.55,30.0,20,105,14,29,71,6,13,26,1,35,49.0,167600.0,24,86922.0,0,0,0,0,0,0,0,0
0,17608,,4,16,3,10,12.0,11.5,8.13,11.33,22,119,13,35,72,6,17,32,1,35,58.0,188500.0,32,108658.0,0,0,0,0,1,0,0,0
1,5331,14.0,9,22,7,11,15.0,13.33,11.55,13.0,4,112,30,50,102,11,22,41,1,24,,161800.0,30,84071.0,0,0,0,0,1,1,0,1
0,17636,,2,6,1,4,20.0,20.0,16.67,20.0,18,74,13,33,53,6,16,22,0,22,,107700.0,27,84071.0,0,0,0,0,0,0,1,0
0,17363,,2,2,1,1,15.0,15.0,15.0,15.0,20,29,10,23,21,4,10,9,0,17,32.0,80100.0,30,55991.0,0,0,0,0,0,1,1,0
0,17367,,6,7,5,5,7.0,9.33,8.43,9.8,19,35,12,31,31,6,16,14,1,40,31.0,91200.0,24,55991.0,0,0,0,0,1,0,1,0
0,17578,,4,4,4,4,10.0,10.0,10.0,10.0,20,33,13,31,31,6,14,12,1,35,31.0,127400.0,24,0.0,0,0,0,0,0,0,0,0
0,17664,,1,1,0,0,20.0,20.0,20.0,,15,15,8,10,10,3,3,4,0,32,59.0,57400.0,30,25742.0,1,0,0,0,0,0,0,0
1,17714,26.0,2,7,1,4,21.0,21.0,12.43,21.0,17,87,15,33,59,6,14,23,1,11,66.0,77000.0,30,43231.0,0,0,0,0,0,0,0,0
0,188727,,3,11,2,4,10.0,15.0,11.91,15.5,5,69,12,34,53,6,17,21,1,32,67.0,56700.0,28,43231.0,0,0,0,0,0,1,0,0
1,186462,8.0,3,28,2,17,10.0,5.0,4.29,5.0,4,129,19,37,82,6,14,31,1,40,81.0,65400.0,23,43231.0,0,0,0,0,1,0,0,0
0,14124,,1,22,1,5,15.0,15.0,11.95,15.0,4,147,18,35,85,7,14,30,0,24,75.0,134800.0,27,57000.0,0,0,0,0,0,1,1,0
0,5960,,2,12,2,7,20.0,18.0,12.83,18.0,17,101,20,39,90,6,16,25,1,23,46.0,150400.0,57,57000.0,0,0,0,0,0,0,1,0
1,17791,25.0,2,4,2,3,25.0,25.0,25.0,25.0,18,44,13,34,38,6,17,17,0,24,58.0,96900.0,18,50858.0,0,0,0,0,0,0,0,0
1,17772,10.0,2,2,1,1,5.0,10.0,10.0,15.0,20,21,11,18,16,4,7,6,0,24,87.0,260200.0,43,50858.0,0,0,0,1,0,0,0,0
0,17782,,3,5,2,2,15.0,13.33,10.8,12.5,18,33,12,30,30,6,15,13,0,15,40.0,94000.0,15,0.0,0,0,0,0,0,1,0,0
0,17820,,2,29,2,10,10.0,10.0,9.17,10.0,22,128,13,35,80,6,17,34,1,14,,111600.0,26,0.0,0,0,0,0,1,1,0,0
0,17833,,2,2,0,0,15.0,12.5,12.5,,18,28,12,26,23,5,5,10,0,12,70.0,98800.0,37,72359.0,0,0,0,0,0,0,0,0
0,17872,,4,15,2,9,25.0,14.25,15.4,10.0,15,130,13,34,73,6,16,31,1,34,79.0,90900.0,31,67280.0,0,0,0,0,1,0,0,0
0,16733,,4,20,1,11,20.0,20.0,16.7,20.0,17,126,15,36,75,6,17,30,1,22,,121900.0,18,67280.0,0,0,0,0,1,0,0,1
0,17898,,3,4,1,1,4.0,6.33,5.5,5.0,16,24,13,24,21,6,11,9,0,32,59.0,56900.0,18,32482.0,0,0,0,1,0,0,0,0
0,17881,,4,4,1,1,14.0,9.25,9.25,11.0,19,31,13,27,24,6,12,10,1,32,41.0,48000.0,26,32482.0,0,0,0,0,0,0,0,0
1,17921,8.0,5,7,3,4,9.0,8.2,7.29,8.33,16,41,13,33,34,6,15,15,0,28,69.0,73200.0,41,49658.0,0,0,0,0,0,0,0,0
