TARGET_B,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftAvgCard36,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,StatusCatStarAll,DemAge,DemMedHomeValue,DemPctVeterans,DemMedIncome,StatusCat96NK_E,StatusCat96NK_F,StatusCat96NK_L,StatusCat96NK_N,StatusCat96NK_S,DemHomeOwner_U,DemGender_M,DemGender_U,DemMedIncome_Missing,DemCluster10,DemCluster44,DemCluster30,DemCluster41,DemCluster32,DemCluster47,DemCluster40,DemCluster49,DemCluster13
1,1.1314021114911006,2.778819271990417,0.7419373447293773,2.5726122302071057,1.8082887711792652,1.860974538249528,1.8293763327993615,1.8082887711792652,2.8390784635086144,4.673762977453703,12,23,40,6,12,21,1,61.0,143900.0,30,53513.457361167966,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1,0.7419373447293773,2.5726122302071057,0.0953101798043249,2.091864061678393,2.580974118534234,2.214846178686039,1.3937663759585917,1.62924053973028,2.9496883350525844,4.318820558770089,7,15,29,2,6,13,1,54.5,134400.0,41,53513.457361167966,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0.0953101798043249,0.0953101798043249,-2.302585092994045,-2.302585092994045,3.0007198150650303,3.0007198150650303,3.0007198150650303,2.6619665279224902,2.778819271990417,2.778819271990417,12,17,14,5,5,6,0,59.15084489627696,68200.0,47,53513.457361167966,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0.7419373447293773,1.410986973710262,-2.302585092994045,-2.302585092994045,2.312535423847214,2.714694743820879,2.451005098112319,2.312535423847214,1.62924053973028,3.4688560301359703,15,33,30,6,6,13,0,39.0,115100.0,30,63000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.7419373447293773,0.7419373447293773,0.0953101798043249,0.0953101798043249,3.0007198150650303,2.533696813957432,2.533696813957432,1.62924053973028,2.89591193827178,3.299533727885655,11,23,19,5,11,9,0,50.0,112179.20275487842,33,53513.457361167966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.8082887711792652,2.4932054526026954,1.1314021114911006,1.62924053973028,1.8082887711792652,1.8082887711792652,1.8082887711792652,1.691939133945844,3.139832617527748,3.8088822465086327,11,32,40,5,15,16,1,45.0,112179.20275487842,37,53513.457361167966,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1.1314021114911006,1.9600947840472696,0.0953101798043249,1.1314021114911006,2.714694743820879,2.465553921272185,2.10900034392138,2.714694743820879,3.1822118404966093,4.3054155323020415,4,12,26,2,6,13,0,47.0,207900.0,48,53513.457361167966,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
0,1.9600947840472696,2.714694743820879,1.1314021114911006,2.091864061678393,1.62924053973028,1.6845453849209058,1.7526720805200082,1.7526720805200082,2.8390784635086144,4.533674184283021,12,30,58,6,15,22,1,64.5,104400.0,35,54385.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
0,1.410986973710262,1.62924053973028,0.0953101798043249,0.0953101798043249,2.312535423847214,3.728100167267218,3.563882963939251,3.914021008090819,2.89591193827178,3.4995332823830174,14,33,33,6,15,13,0,45.5,70000.0,37,53513.457361167966,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1.410986973710262,2.2082744135228043,1.1314021114911006,1.9600947840472696,1.9600947840472696,1.7227665977411035,1.671473303353553,1.7526720805200082,3.0492730404820207,3.7864597824528,6,14,19,2,6,8,1,64.5,62500.0,28,53513.457361167966,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,0.0953101798043249,3.0007198150650303,0.0953101798043249,2.091864061678393,3.2228678461377385,3.586292865338835,3.2976870052924907,3.586292865338835,2.89591193827178,4.6549122778829055,21,39,101,6,17,30,1,80.0,51500.0,37,44947.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0.7419373447293773,1.62924053973028,-2.302585092994045,0.7419373447293773,2.714694743820879,2.4932054526026954,2.23001440015921,2.6619665279224902,2.89591193827178,4.044804116661965,4,12,19,2,2,10,0,59.15084489627696,43200.0,52,53513.457361167966,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
0,1.1314021114911006,3.0492730404820207,0.7419373447293773,2.6461747973841225,2.091864061678393,2.050270164379556,1.897619859927532,2.028148247292285,3.095577608523707,4.6549122778829055,5,13,42,2,6,19,1,61.0,237700.0,31,86560.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.0953101798043249,0.0953101798043249,0.0953101798043249,0.0953101798043249,2.714694743820879,2.714694743820879,2.714694743820879,2.714694743820879,2.9496883350525844,2.9496883350525844,7,11,10,2,4,4,0,47.0,218900.0,26,53513.457361167966,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1.1314021114911006,2.714694743820879,-2.302585092994045,1.62924053973028,3.0007198150650303,2.5974910105351463,2.3194422100604686,2.778819271990417,2.89591193827178,4.585987366571318,13,34,74,6,6,32,1,67.0,93800.0,33,53513.457361167966,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
0,0.7419373447293773,0.7419373447293773,0.0953101798043249,0.0953101798043249,2.5726122302071057,2.8094026953624978,2.8094026953624978,3.0007198150650303,2.778819271990417,2.8390784635086144,12,17,15,6,9,7,0,67.0,79600.0,31,52981.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0953101798043249,0.0953101798043249,0.0953101798043249,0.0953101798043249,3.0007198150650303,3.0007198150650303,3.0007198150650303,3.0007198150650303,2.778819271990417,2.778819271990417,5,8,8,2,4,4,0,53.0,78100.0,8,40491.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.7419373447293773,2.6461747973841225,0.7419373447293773,1.8082887711792652,2.6461747973841225,2.312535423847214,2.305580601973844,2.312535423847214,1.410986973710262,4.160444363926624,30,50,103,6,16,24,1,76.0,169000.0,50,83169.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1.62924053973028,2.4069451083182885,1.1314021114911006,1.9600947840472696,2.714694743820879,2.33214389523559,2.167910189667444,2.344686269012681,1.410986973710262,3.972176928247893,6,14,21,1,5,8,1,48.5,135400.0,15,53513.457361167966,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1.62924053973028,2.778819271990417,1.1314021114911006,1.9600947840472696,2.714694743820879,2.066862759472976,1.701105100959924,2.2793164660546914,3.2228678461377385,4.635699391022914,8,25,43,4,13,17,0,76.5,123600.0,22,53513.457361167966,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
1,1.410986973710262,2.6461747973841225,0.7419373447293773,1.9600947840472696,2.8390784635086144,2.8390784635086144,2.444952334280968,2.8094026953624978,2.778819271990417,4.821087692210561,13,29,58,6,16,29,0,47.0,87500.0,44,40898.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1.1314021114911006,1.62924053973028,1.1314021114911006,1.410986973710262,2.714694743820879,2.799108932049177,2.766319109226186,2.799108932049177,2.2082744135228043,3.716008121502189,23,39,44,9,16,17,0,50.0,192800.0,0,71033.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0.7419373447293773,0.7419373447293773,0.0953101798043249,0.0953101798043249,3.8088822465086327,3.484312288372662,3.484312288372662,3.0007198150650303,2.89591193827178,2.9496883350525844,15,21,17,6,9,7,0,55.5,103100.0,24,53513.457361167966,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,1.62924053973028,1.9600947840472696,1.410986973710262,1.62924053973028,1.62924053973028,1.5892352051165808,1.47932922708708,1.2809338454620642,2.778819271990417,3.716008121502189,15,32,32,6,14,13,1,72.0,80000.0,37,57800.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0.7419373447293773,1.410986973710262,0.0953101798043249,1.1314021114911006,2.714694743820879,2.714694743820879,2.533696813957432,2.714694743820879,3.2228678461377385,3.7864597824528,10,20,21,5,10,11,1,47.0,81400.0,33,44194.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,1.9600947840472696,2.89591193827178,1.410986973710262,2.312535423847214,2.312535423847214,1.9600947840472696,1.8531680973566984,1.88706964903238,2.9496883350525844,4.044804116661965,13,33,48,6,17,21,1,41.0,54900.0,27,45164.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0.7419373447293773,2.4932054526026954,0.0953101798043249,1.8082887711792652,2.4932054526026954,2.4069451083182885,1.8213182714695997,2.4932054526026954,3.0007198150650303,4.719391330078114,15,34,69,6,14,28,0,67.0,52900.0,35,53400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0953101798043249,2.312535423847214,0.0953101798043249,2.2082744135228043,2.9496883350525844,2.9496883350525844,2.5572273113676265,2.9496883350525844,2.8390784635086144,4.683056724645162,14,32,66,6,15,27,1,75.0,84900.0,21,59500.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
0,0.0953101798043249,1.1314021114911006,0.0953101798043249,0.0953101798043249,2.312535423847214,3.2228678461377385,2.6224923127405635,3.2228678461377385,1.9600947840472696,3.0492730404820207,16,23,21,5,8,7,0,60.0,84900.0,21,53513.457361167966,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
0,0.7419373447293773,0.7419373447293773,0.0953101798043249,0.0953101798043249,2.778819271990417,2.5726122302071057,2.5726122302071057,2.778819271990417,3.1822118404966093,3.3357695763397,10,23,22,4,10,9,0,41.0,111700.0,42,59500.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1.1314021114911006,3.095577608523707,1.1314021114911006,2.778819271990417,2.312535423847214,1.912501086924184,1.007957920399979,1.912501086924184,3.1822118404966093,4.875960390769654,4,13,49,2,7,24,1,59.0,59500.0,23,53513.457361167966,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1.410986973710262,3.1822118404966093,0.7419373447293773,2.312535423847214,2.4069451083182885,2.336986519711378,2.203869120054888,2.312535423847214,2.9496883350525844,4.710430696645584,13,33,73,6,17,31,1,51.0,44400.0,33,40000.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1.8082887711792652,3.095577608523707,1.1314021114911006,2.2082744135228043,3.2228678461377385,2.725890119230541,2.658859956911438,2.5974910105351463,2.778819271990417,4.596129441335942,14,36,76,6,17,28,1,62.5,59500.0,23,53513.457361167966,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
0,0.0953101798043249,0.0953101798043249,-2.302585092994045,-2.302585092994045,3.0007198150650303,3.0007198150650303,3.0007198150650303,2.70805020110221,3.0007198150650303,3.0007198150650303,11,18,16,4,4,6,0,31.0,45400.0,11,37236.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0953101798043249,0.0953101798043249,0.0953101798043249,0.0953101798043249,3.2228678461377385,3.2228678461377385,3.2228678461377385,3.2228678461377385,3.0492730404820207,3.0492730404820207,10,17,15,4,7,6,0,60.0,73000.0,36,50528.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0.7419373447293773,0.7419373447293773,-2.302585092994045,-2.302585092994045,3.0007198150650303,3.0007198150650303,3.0007198150650303,2.4069451083182885,2.778819271990417,3.0007198150650303,12,18,17,5,5,6,0,54.0,54300.0,25,43729.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0.7419373447293773,2.778819271990417,0.7419373447293773,2.4932054526026954,2.714694743820879,2.714694743820879,2.4344901638739844,2.714694743820879,2.9496883350525844,4.804840381116659,13,33,76,6,16,33,1,47.0,50200.0,25,41094.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.7419373447293773,2.5726122302071057,0.0953101798043249,1.8082887711792652,2.4069451083182885,2.312535423847214,1.8931119634883424,2.4069451083182885,2.8390784635086144,4.345103280569283,13,32,56,6,15,22,1,80.0,72300.0,30,53513.457361167966,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0.0953101798043249,0.0953101798043249,0.0953101798043249,0.0953101798043249,3.2228678461377385,3.2228678461377385,3.2228678461377385,3.2228678461377385,3.0492730404820207,3.0492730404820207,11,18,16,5,8,7,0,51.0,107100.0,32,50832.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.0953101798043249,0.0953101798043249,-2.302585092994045,-2.302585092994045,3.0007198150650303,3.0007198150650303,3.0007198150650303,2.8390784635086144,2.9496883350525844,2.9496883350525844,10,14,12,4,4,4,0,75.0,65100.0,30,53513.457361167966,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0.7419373447293773,0.7419373447293773,0.0953101798043249,0.0953101798043249,3.0007198150650303,2.8678989020441064,2.8678989020441064,2.714694743820879,2.89591193827178,3.139832617527748,12,24,21,6,12,10,0,70.0,107100.0,32,77654.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0.7419373447293773,0.7419373447293773,0.0953101798043249,0.0953101798043249,2.714694743820879,2.312535423847214,2.312535423847214,1.62924053973028,2.89591193827178,3.370738174177447,10,23,21,4,9,8,0,59.0,45200.0,31,35302.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0953101798043249,2.5726122302071057,-2.302585092994045,1.8082887711792652,3.0007198150650303,3.0007198150650303,2.3350522831315472,2.1615973996930684,2.9496883350525844,4.635699391022914,13,31,60,6,6,25,1,42.0,78200.0,25,58530.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1.8082887711792652,3.7864597824528,0.7419373447293773,2.312535423847214,2.312535423847214,2.9496883350525844,2.7459880404426023,2.9496883350525844,1.62924053973028,5.231643233280044,29,51,118,11,22,38,0,64.5,65000.0,0,58530.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0.0953101798043249,0.0953101798043249,0.0953101798043249,0.0953101798043249,3.0007198150650303,3.0007198150650303,3.0007198150650303,3.0007198150650303,3.1822118404966093,3.1822118404966093,8,18,16,3,7,6,0,47.0,85900.0,25,51013.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1.1314021114911006,2.89591193827178,1.1314021114911006,2.5726122302071057,2.312535423847214,2.2082744135228043,1.5993875765805987,2.2082744135228043,2.8390784635086144,4.829113417472866,13,28,68,6,13,27,1,53.0,47100.0,24,43756.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.7419373447293773,2.6461747973841225,-2.302585092994045,1.410986973710262,2.5726122302071057,2.4069451083182885,1.9892432737616872,2.6619665279224902,3.0492730404820207,4.455509411433685,12,30,59,5,5,23,1,59.15084489627696,68300.0,31,43756.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0.7419373447293773,1.1314021114911006,0.0953101798043249,0.0953101798043249,3.0007198150650303,2.778819271990417,2.6461747973841225,3.0007198150650303,3.1822118404966093,3.7864597824528,11,28,33,6,13,13,0,65.0,68300.0,40,43756.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1,1.410986973710262,2.6461747973841225,0.7419373447293773,1.9600947840472696,2.312535423847214,2.151762203259462,1.9501867058225733,2.26176309847379,3.139832617527748,4.844974178195408,12,32,68,6,15,29,0,42.0,149700.0,40,53466.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.7419373447293773,2.4932054526026954,0.7419373447293773,2.4932054526026954,2.312535423847214,2.533696813957432,2.2082744135228043,2.533696813957432,2.778819271990417,4.606169686321175,4,12,35,2,6,18,1,81.0,72800.0,8,53513.457361167966,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0.7419373447293773,0.7419373447293773,-2.302585092994045,-2.302585092994045,2.778819271990417,2.5726122302071057,2.5726122302071057,2.731115474033206,2.778819271990417,3.0007198150650303,12,18,17,5,5,6,0,38.0,45600.0,29,40262.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0.0953101798043249,1.1314021114911006,-2.302585092994045,0.7419373447293773,3.0007198150650303,3.0007198150650303,2.2438960966453663,2.8678989020441064,3.261935314328648,4.220977213155467,9,20,34,4,4,12,0,56.0,70700.0,27,40262.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,0.7419373447293773,1.1314021114911006,-2.302585092994045,0.0953101798043249,3.0007198150650303,2.778819271990417,2.6461747973841225,2.6619665279224902,2.9496883350525844,3.7864597824528,14,31,35,6,6,13,0,59.15084489627696,53500.0,37,43481.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
0,1.1314021114911006,1.1314021114911006,0.7419373447293773,0.7419373447293773,2.714694743820879,2.344686269012681,2.344686269012681,2.091864061678393,2.89591193827178,3.4688560301359703,12,28,25,6,13,11,0,51.0,66200.0,20,51338.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.091864061678393,3.0492730404820207,1.8082887711792652,2.4932054526026954,2.2082744135228043,1.9947003132247447,2.234306252240751,2.050270164379556,1.410986973710262,4.318820558770089,25,46,88,11,21,32,1,57.0,86000.0,35,51338.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,1.410986973710262,2.2082744135228043,0.0953101798043249,0.7419373447293773,1.62924053973028,1.8484548129046,1.7715567619105357,1.62924053973028,2.89591193827178,3.9531649487593215,12,32,40,6,15,16,0,69.0,46700.0,24,42855.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1.62924053973028,2.89591193827178,1.1314021114911006,2.5726122302071057,2.091864061678393,2.0412203288596382,1.7526720805200082,1.912501086924184,2.778819271990417,4.86830338551846,11,30,70,6,16,30,1,63.0,43900.0,43,28618.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0.0953101798043249,1.1314021114911006,-2.302585092994045,0.0953101798043249,2.714694743820879,2.714694743820879,2.344686269012681,1.7808670280616312,2.8390784635086144,3.9531649487593215,10,23,27,4,4,12,0,59.0,105500.0,43,45910.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.0953101798043249,1.62924053973028,0.0953101798043249,0.7419373447293773,2.714694743820879,2.714694743820879,2.4932054526026954,2.714694743820879,3.0492730404820207,4.160444363926624,10,26,44,4,10,15,0,50.0,76900.0,28,53804.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.7419373447293773,0.7419373447293773,0.7419373447293773,0.7419373447293773,3.2228678461377385,2.6461747973841225,2.6461747973841225,2.6461747973841225,3.139832617527748,3.4995332823830174,14,30,28,6,13,11,0,52.0,124400.0,27,78433.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1.8082887711792652,2.2082744135228043,0.7419373447293773,1.410986973710262,1.8082887711792652,1.88706964903238,1.860974538249528,1.88706964903238,3.0007198150650303,3.9531649487593215,14,35,42,6,16,16,1,69.0,93000.0,31,59061.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0.7419373447293773,0.7419373447293773,-2.302585092994045,-2.302585092994045,3.0007198150650303,2.714694743820879,2.714694743820879,2.714694743820879,2.89591193827178,3.4372078191851885,10,24,22,4,4,9,0,33.0,82200.0,31,59061.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1.410986973710262,2.714694743820879,1.1314021114911006,2.312535423847214,1.62924053973028,1.62924053973028,1.691939133945844,1.62924053973028,2.8390784635086144,4.6549122778829055,12,27,62,4,11,22,1,73.0,86100.0,0,53513.457361167966,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0
1,1.62924053973028,2.778819271990417,0.7419373447293773,2.091864061678393,1.410986973710262,1.4586150226995167,1.332366019094335,1.5260563034950492,2.778819271990417,4.821087692210561,13,32,62,6,15,27,1,70.0,42900.0,23,37148.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0.7419373447293773,0.7419373447293773,0.7419373447293773,0.7419373447293773,3.0007198150650303,3.0007198150650303,3.0007198150650303,3.0007198150650303,3.139832617527748,3.370738174177447,10,20,19,4,9,8,0,67.0,40500.0,25,37148.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0.7419373447293773,2.5726122302071057,0.0953101798043249,1.8082887711792652,3.0007198150650303,2.8678989020441064,2.364620483913498,2.714694743820879,3.261935314328648,4.754451888703846,10,32,62,5,16,30,1,47.0,62800.0,26,48625.0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
0,0.7419373447293773,1.410986973710262,0.0953101798043249,1.1314021114911006,2.714694743820879,2.4932054526026954,2.2082744135228043,2.714694743820879,3.1822118404966093,4.027135812528651,10,28,39,5,12,14,0,47.0,65100.0,24,48625.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0.0953101798043249,2.89591193827178,-2.302585092994045,2.312535423847214,3.0007198150650303,3.0007198150650303,2.318458442150336,2.628285232633348,3.0492730404820207,4.796616650559047,13,33,75,6,6,30,1,61.0,62500.0,29,48625.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,0.7419373447293773,0.7419373447293773,0.0953101798043249,0.0953101798043249,3.2228678461377385,3.0007198150650303,3.0007198150650303,2.714694743820879,2.714694743820879,3.370738174177447,12,26,23,5,11,10,0,47.0,59500.0,30,53513.457361167966,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0.0953101798043249,0.7419373447293773,0.0953101798043249,0.7419373447293773,2.778819271990417,2.778819271990417,2.5726122302071057,2.778819271990417,2.9496883350525844,3.972176928247893,11,19,27,4,7,10,0,67.0,61700.0,27,53513.457361167966,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1.410986973710262,1.410986973710262,0.0953101798043249,0.0953101798043249,2.312535423847214,1.7227665977411035,1.7227665977411035,1.62924053973028,3.0007198150650303,3.4688560301359703,13,26,25,6,11,9,0,70.0,66000.0,18,41736.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0953101798043249,0.0953101798043249,0.0953101798043249,0.0953101798043249,2.714694743820879,2.714694743820879,2.714694743820879,2.714694743820879,2.9496883350525844,2.9496883350525844,10,16,14,4,7,6,0,41.0,74400.0,42,41736.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1.8082887711792652,2.6461747973841225,0.7419373447293773,1.1314021114911006,1.1314021114911006,1.3270750014599193,1.3001916620664788,1.62924053973028,2.714694743820879,4.235554730773624,12,31,60,6,16,20,0,54.5,56500.0,32,40898.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,1.410986973710262,3.0492730404820207,0.7419373447293773,2.2082744135228043,2.312535423847214,2.6979998652487085,2.4024304279637616,2.8678989020441064,2.9496883350525844,4.710430696645584,30,51,103,6,17,29,1,71.0,89400.0,24,40898.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1.62924053973028,2.89591193827178,0.7419373447293773,2.091864061678393,2.714694743820879,2.714694743820879,2.5423890852013624,2.714694743820879,2.8390784635086144,4.318820558770089,13,35,64,6,17,24,1,41.0,67900.0,40,40898.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
